fwhm	896.7896389624932-20°C	896.7896389624932-30°C	896.7896389624932-40°C	896.7896389624932-50°C	896.7896389624932-60°C	896.7896389624932-70°C
1.962076904999999897e+04	4.612279822629633303e-04	5.246460464274021020e-04	6.582957834744818364e-04	7.338666332623954404e-04	1.341667964381002952e-03	2.908820122983196872e-03
1.961076675999999861e+04	4.813768187347892686e-04	5.471010415077419376e-04	6.854463546534850021e-04	7.635876897186902887e-04	1.390469855173736809e-03	2.999298011439573749e-03
1.960077497999999832e+04	5.023133887525669215e-04	5.704142306795068453e-04	7.135926566251262143e-04	7.943768178101261093e-04	1.440825594452432986e-03	3.092182936281190342e-03
1.959079371000000174e+04	5.240643165153177283e-04	5.946138644225504874e-04	7.427659204390347179e-04	8.262667263248849817e-04	1.492776309788669889e-03	3.187525685077369046e-03
1.958082290999999896e+04	5.466570460743628386e-04	6.197290424417154680e-04	7.729982758574834500e-04	8.592910460379841716e-04	1.546364154321049804e-03	3.285378133800113173e-03
1.957086258000000089e+04	5.701196809584300595e-04	6.457895333814892783e-04	8.043225304513489712e-04	8.934840866629623415e-04	1.601631899056650153e-03	3.385792484083711366e-03
1.956091269000000102e+04	5.944811548112186430e-04	6.728259627033226012e-04	8.367723922778474164e-04	9.288810785751191752e-04	1.658623313775688503e-03	3.488821945357279460e-03
1.955097323999999935e+04	6.197711040588592662e-04	7.008696694092744458e-04	8.703822941039494757e-04	9.655179793841705974e-04	1.717382842644946377e-03	3.594520131143686108e-03
1.954104420000000027e+04	6.460200291168616705e-04	7.299528831005374328e-04	9.051876023352487411e-04	1.003431700285323594e-03	1.777955956806838086e-03	3.702941681977928515e-03
1.953112556000000041e+04	6.732591838661812315e-04	7.601085995277877738e-04	9.412244641798069500e-04	1.042659937861420937e-03	1.840388872240034850e-03	3.814141742206984733e-03
1.952121730000000025e+04	7.015206669311924203e-04	7.913706799580285832e-04	9.785299231235666372e-04	1.083241298412465723e-03	1.904728737101639554e-03	3.928176282196521596e-03
1.951131941000000006e+04	7.308373811447940261e-04	8.237738044992771753e-04	1.017141859617577259e-03	1.125215231894035814e-03	1.971023514780921582e-03	4.045101875732075129e-03
1.950143187000000034e+04	7.612431051497444779e-04	8.573535495216432932e-04	1.057099079942687599e-03	1.168622127107308206e-03	2.039322122973970079e-03	4.164975932143374221e-03
1.949155466000000160e+04	7.927724812370824832e-04	8.921463723918611824e-04	1.098441294379291040e-03	1.213503286441669103e-03	2.109674381296487624e-03	4.287856588066523041e-03
1.948168777000000046e+04	8.254609964839106605e-04	9.281895889840952735e-04	1.141209087119808563e-03	1.259900891838433394e-03	2.182130946524131650e-03	4.413802580840074478e-03
1.947183118000000104e+04	8.593450614379422644e-04	9.655214588204178577e-04	1.185444014004603808e-03	1.307858109501369194e-03	2.256743464881888050e-03	4.542873500076985253e-03
1.946198487999999998e+04	8.944619587173970694e-04	1.004181126754300239e-03	1.231188529945976022e-03	1.357419009810177527e-03	2.333564435171033100e-03	4.675129535355407664e-03
1.945214884000000166e+04	9.308499645098560751e-04	1.044208755153379744e-03	1.278486142043464566e-03	1.408628731917339980e-03	2.412647452247929179e-03	4.810631881207344182e-03
1.944232305999999880e+04	9.685481821159097659e-04	1.085645339187553361e-03	1.327381187904889655e-03	1.461533242390558682e-03	2.494046821820004173e-03	4.949442060998208298e-03
1.943250750999999946e+04	1.007596779374184039e-03	1.128532966515447987e-03	1.377919139266248726e-03	1.516179662718309361e-03	2.577818054324169678e-03	5.091622758364119407e-03
1.942270218999999997e+04	1.048036773781100411e-03	1.172914579693303937e-03	1.430146318504082244e-03	1.572615961416938546e-03	2.664017379434615099e-03	5.237236974638823789e-03
1.941290707000000111e+04	1.089910287001704010e-03	1.218834254367472851e-03	1.484110223368359039e-03	1.630891304046383754e-03	2.752702270728049020e-03	5.386348904296111954e-03
1.940312213999999949e+04	1.133260358215718239e-03	1.266336993094448757e-03	1.539859281193975632e-03	1.691055786475279769e-03	2.843931025641316824e-03	5.539023208559331821e-03
1.939334737999999925e+04	1.178131084851591912e-03	1.315468878600741182e-03	1.597443026288063129e-03	1.753160625549363312e-03	2.937763044517356301e-03	5.695325470921685541e-03
1.938358279000000039e+04	1.224567501908221771e-03	1.366276940597865473e-03	1.656911941053340132e-03	1.817257986836580191e-03	3.034258558456563292e-03	5.855321728153953069e-03
1.937382833000000028e+04	1.272615882376577565e-03	1.418809483600808529e-03	1.718317837117481692e-03	1.883401394645221275e-03	3.133479235093993096e-03	6.019079459772947241e-03
1.936408399999999892e+04	1.322323373841871770e-03	1.473115688508155104e-03	1.781713386447881815e-03	1.951645225905237558e-03	3.235487404710249253e-03	6.186666288797648509e-03
1.935434977000000072e+04	1.373738356740873820e-03	1.529246003703423583e-03	1.847152576272378249e-03	2.022045199627512529e-03	3.340346783239511123e-03	6.358151160307062150e-03
1.934462565000000177e+04	1.426910100349453557e-03	1.587251768809440832e-03	1.914690267834445736e-03	2.094657901488113094e-03	3.448121750651697223e-03	6.533603141353845969e-03
1.933491159999999945e+04	1.481889261258700994e-03	1.647185758401082832e-03	1.984382827921563151e-03	2.169541462662949709e-03	3.558878348931779432e-03	6.713093033721443878e-03
