Wavenumber	17254.243167289234-30C-17269.041071847205-20C	17248.118550349533-40C-17269.041071847205-20C	17248.118550349533-40C-17254.243167289234-30C	17233.344376234996-50C-17269.041071847205-20C	17233.344376234996-50C-17254.243167289234-30C	17233.344376234996-50C-17248.118550349533-40C	17222.547452456358-60C-17269.041071847205-20C	17222.547452456358-60C-17254.243167289234-30C	17222.547452456358-60C-17248.118550349533-40C	17222.547452456358-60C-17233.344376234996-50C	17199.639830854983-70C-17269.041071847205-20C	17199.639830854983-70C-17254.243167289234-30C	17199.639830854983-70C-17248.118550349533-40C	17199.639830854983-70C-17233.344376234996-50C	17199.639830854983-70C-17222.547452456358-60C
1.989486652999999933e+04	-4.488964122137514747e-07	-6.309299231629407478e-07	-1.820335109491892731e-07	-1.072627197268424728e-06	-6.237307850546732532e-07	-4.416972741054839800e-07	-1.390568742527342576e-06	-9.416723303135911011e-07	-7.596388193644018280e-07	-3.179415452589178480e-07	-2.049398128392538156e-06	-1.600501716178786681e-06	-1.418468205229597408e-06	-9.767709311241134281e-07	-6.588293858651955801e-07
1.988457398000000103e+04	-4.709369228455141231e-07	-6.619080756400182348e-07	-1.909711527945041117e-07	-1.125292005995975810e-06	-6.543550831504616871e-07	-4.633839303559575754e-07	-1.458843867360726243e-06	-9.879069445152121199e-07	-7.969357917207080082e-07	-3.335518613647504328e-07	-2.150020245424638177e-06	-1.679083322579124054e-06	-1.488112169784619942e-06	-1.024728239428662367e-06	-6.911763780639119340e-07
1.987429239999999845e+04	-4.939617045376302855e-07	-6.942696152149234554e-07	-2.003079106772931699e-07	-1.180308597088596369e-06	-6.863468925509660836e-07	-4.860389818736729137e-07	-1.530167812965855471e-06	-1.036206108428225185e-06	-8.358981977509320153e-07	-3.498592158772591016e-07	-2.255135504106034819e-06	-1.761173799568404533e-06	-1.560865888891111363e-06	-1.074826907017438450e-06	-7.249676911401793482e-07
1.986402178999999887e+04	-5.180098016148936522e-07	-7.280694155856084863e-07	-2.100596139707148341e-07	-1.237770245092250981e-06	-7.197604434773573288e-07	-5.097008295066424947e-07	-1.604661489787391265e-06	-1.086651688172497613e-06	-8.765920742017827786e-07	-3.668912446951402839e-07	-2.364922069156088179e-06	-1.846912267541194527e-06	-1.636852653570479692e-06	-1.127151824063837198e-06	-7.602605793686969139e-07
1.985376210999999967e+04	-5.431216826302920613e-07	-7.633643515856649783e-07	-2.202426689553729170e-07	-1.297773624021734571e-06	-7.546519413914425101e-07	-5.344092724360695931e-07	-1.682450213267303388e-06	-1.139328530637011326e-06	-9.190858616816384094e-07	-3.846765892455688163e-07	-2.479564591759711402e-06	-1.936442909129419340e-06	-1.716200240174046423e-06	-1.181790967737976830e-06	-7.971143784924080138e-07
1.984351335000000108e+04	-5.693391160144993090e-07	-8.002131243037876717e-07	-2.308740082892883627e-07	-1.360418509618399954e-06	-7.910793936039006453e-07	-5.602053853146122826e-07	-1.763663317494765887e-06	-1.194324201480266578e-06	-9.634501931909782158e-07	-4.032448078763659332e-07	-2.599253639242658743e-06	-2.029914523228159434e-06	-1.799040514938871071e-06	-1.238835129624258789e-06	-8.355903217478928557e-07
1.983327549999999974e+04	-5.967052732255687976e-07	-8.386764059396898535e-07	-2.419711327141210559e-07	-1.425808025109950557e-06	-8.291027518843817595e-07	-5.871316191702607035e-07	-1.848434473399951979e-06	-1.251729200174383182e-06	-1.009758067460262126e-06	-4.226264482900014222e-07	-2.724186162934144877e-06	-2.127480889708576080e-06	-1.885509756994455024e-06	-1.298378137824194320e-06	-8.757516895341928981e-07
1.982304853000000003e+04	-6.252648241638746746e-07	-8.788169737694790425e-07	-2.535521496056043680e-07	-1.494048868375949047e-06	-8.687840442120743720e-07	-6.152318946064700041e-07	-1.936901982775649910e-06	-1.311637158611775236e-06	-1.058085009006170868e-06	-4.428531143997008635e-07	-2.854565930231005820e-06	-2.229301106067131145e-06	-1.975748956461526777e-06	-1.360517061855056773e-06	-9.176639474553559099e-07
1.981283242999999857e+04	-6.550638698841397631e-07	-9.206996154096703557e-07	-2.656357455255305925e-07	-1.565251150217650310e-06	-9.101872803335105469e-07	-6.445515348079799544e-07	-2.029208568059460592e-06	-1.374144698175320829e-06	-1.108508952649790236e-06	-4.639574178418102816e-07	-2.990603213335154328e-06	-2.335539343451014565e-06	-2.069903597925483972e-06	-1.425352063117504018e-06	-9.613946452756937360e-07
1.980262718999999925e+04	-6.861500329191801400e-07	-9.643912555808576825e-07	-2.782412226616775425e-07	-1.639528609085325918e-06	-9.533785761661457778e-07	-6.751373535044682354e-07	-2.125501650070588415e-06	-1.439351617151408275e-06	-1.161110394489730732e-06	-4.859730409852624968e-07	-3.132515196894650319e-06	-2.446365163975470179e-06	-2.168123941313792637e-06	-1.492986587809324401e-06	-1.007013546824061904e-06
1.979243277999999918e+04	-7.185725635968514841e-07	-1.009961105319736631e-06	-2.913885417228851468e-07	-1.716998863847152843e-06	-9.984263002503013587e-07	-7.070377585274162120e-07	-2.225933674964748624e-06	-1.507361111367897140e-06	-1.215972569645011993e-06	-5.089348111175957812e-07	-3.280526457915601025e-06	-2.561953894318749541e-06	-2.270565352595864395e-06	-1.563527594068448183e-06	-1.054592782950852401e-06
