Wavenumber	Major Gaussian	Minor Gaussian
1.970116785000000164e+04	6.561067673492615175e-09	3.033553100849591296e-03
1.969108084999999846e+04	7.611016404470755429e-09	3.130264310752081842e-03
1.968100449999999910e+04	8.822317076556217165e-09	3.229623977971830730e-03
1.967093878000000041e+04	1.021869604248727133e-08	3.331690275003002574e-03
1.966088366999999926e+04	1.182720330128232276e-08	3.436522223508337720e-03
1.965083915999999954e+04	1.367865157672391119e-08	3.544179586258631217e-03
1.964080523000000176e+04	1.580811547068137440e-08	3.654723075636653971e-03
1.963078186999999889e+04	1.825548503779251512e-08	3.768214138733396498e-03
1.962076904999999897e+04	2.106609883673310898e-08	3.884715294854251648e-03
1.961076675999999861e+04	2.429143633054678149e-08	4.004289681556721936e-03
1.960077497999999832e+04	2.798991250608739557e-08	4.127001394466676271e-03
1.959079371000000174e+04	3.222774819302251806e-08	4.252915118216731884e-03
1.958082290999999896e+04	3.707998133621345850e-08	4.382096877624628607e-03
1.957086258000000089e+04	4.263153578701716382e-08	4.514613025634693806e-03
1.956091269000000102e+04	4.897848620178566758e-08	4.650531138802214796e-03
1.955097323999999935e+04	5.622939932854089759e-08	4.789919215023758468e-03
1.954104420000000027e+04	6.450690620402444186e-08	4.932846489234311328e-03
1.953112556000000041e+04	7.394937691638278717e-08	5.079382736735454235e-03
1.952121730000000025e+04	8.471284600404756958e-08	5.229598690906030536e-03
1.951131941000000006e+04	9.697310971617174602e-08	5.383565742079379594e-03
1.950143187000000034e+04	1.109281003829921058e-07	5.541356234827311128e-03
1.949155466000000160e+04	1.268004910122162846e-07	5.703043316034794342e-03
1.948168777000000046e+04	1.448405759178816813e-07	5.868700758315196359e-03
1.947183118000000104e+04	1.653295171671212486e-07	6.038403280036522096e-03
1.946198487999999998e+04	1.885828679608012868e-07	6.212226201478721239e-03
1.945214884000000166e+04	2.149545836869315748e-07	6.390245964060502562e-03
1.944232305999999880e+04	2.448412540576822655e-07	6.572539227641054950e-03
1.943250750999999946e+04	2.786870807751365376e-07	6.759183947284004915e-03
1.942270218999999997e+04	3.169890096666813025e-07	6.950258249812542137e-03
1.941290707000000111e+04	3.603028036923934976e-07	7.145841564537487069e-03
1.940312213999999949e+04	4.092493231235139418e-07	7.346013649760703770e-03
1.939334737999999925e+04	4.645217652222372288e-07	7.550855168511560155e-03
1.938358279000000039e+04	5.268933276689090390e-07	7.760447050002825843e-03
1.937382833000000028e+04	5.972261957636428941e-07	7.974871759903920734e-03
1.936408399999999892e+04	6.764804900524665548e-07	8.194211570065014147e-03
1.935434977000000072e+04	7.657251370160254961e-07	8.418550071157821293e-03
1.934462565000000177e+04	8.661486519985255711e-07	8.647970568849666639e-03
1.933491159999999945e+04	9.790724685090656871e-07	8.882558157018540998e-03
1.932520761000000130e+04	1.105963829548030374e-06	9.122397842605260709e-03
1.931551367000000027e+04	1.248450976824188077e-06	9.367575212550485406e-03
1.930582977000000028e+04	1.408339467293190339e-06	9.618176416880503191e-03
1.929615587999999843e+04	1.587630381938461090e-06	9.874288686759350939e-03
1.928649198999999862e+04	1.788539121313746550e-06	1.013599928211295770e-02
1.927683809000000110e+04	2.013516875853069102e-06	1.040339597309136201e-02
1.926719414999999935e+04	2.265274260554437647e-06	1.067656759378706778e-02
1.925756017000000065e+04	2.546805217711655152e-06	1.095560262254117317e-02
1.924793612999999823e+04	2.861415581251875325e-06	1.124059056273120187e-02
1.923832200999999986e+04	3.212752347691733701e-06	1.153162137525198284e-02
1.922871779999999853e+04	3.604835499048343038e-06	1.182878514542198486e-02
1.921912349000000177e+04	4.042093219044959539e-06	1.213217234749616388e-02
1.920953904999999941e+04	4.529400827041899255e-06	1.244187447544440987e-02
1.919996446999999898e+04	5.072119990040483082e-06	1.275798275589999989e-02
1.919039975000000049e+04	5.676143179828521672e-06	1.308058839579620027e-02
1.918084485000000132e+04	6.347944938001328137e-06	1.340978426271445187e-02
1.917129977000000144e+04	7.094628626630805858e-06	1.374566216252409885e-02
1.916176449000000139e+04	7.923986190358439728e-06	1.408831484583466728e-02
1.915223900000000140e+04	8.844556241046640140e-06	1.443783494523085027e-02
1.914272327999999834e+04	9.865690713027409060e-06	1.479431566842497742e-02
1.913321731999999975e+04	1.099762276905033183e-05	1.515785003805521919e-02
1.912372109999999884e+04	1.225154406649319585e-05	1.552853161434409462e-02
1.911423460999999952e+04	1.363968305026967683e-05	1.590645370287554344e-02
1.910475782999999865e+04	1.517539421738763033e-05	1.629171010768578134e-02
1.909529074000000037e+04	1.687324993929798330e-05	1.668439472509266469e-02
1.908583334000000104e+04	1.874913589647225344e-05	1.708460066075447384e-02
1.907638560000000143e+04	2.082036704515769589e-05	1.749242229525403008e-02
1.906694752000000153e+04	2.310578959630096084e-05	1.790795271499560914e-02
1.905751907999999821e+04	2.562591319611435173e-05	1.833128581901737747e-02
1.904810024999999951e+04	2.840304034816556618e-05	1.876251591332518329e-02
1.903869104000000152e+04	3.146138972212807287e-05	1.920173536890072002e-02
1.902929142000000138e+04	3.482726750387171868e-05	1.964903825284844072e-02
1.901990137999999934e+04	3.852920670548363845e-05	2.010451754032261187e-02
1.901052089999999953e+04	4.259814453056461438e-05	2.056826648742053967e-02
1.900114996999999858e+04	4.706759231208023758e-05	2.104037762810448756e-02
1.899178858000000037e+04	5.197382758586729983e-05	2.152094321171689126e-02
1.898243671000000177e+04	5.735610022378169801e-05	2.201005569666357117e-02
1.897309433999999965e+04	6.325684078745454368e-05	2.250780722729898639e-02
1.896376147000000128e+04	6.972187102136891471e-05	2.301428850479096330e-02
1.895443807000000015e+04	7.680067464482235771e-05	2.352959144097933192e-02
1.894512413000000015e+04	8.454661549516724367e-05	2.405380643469232776e-02
1.893581965000000127e+04	9.301720497572531113e-05	2.458702281325977554e-02
1.892652459000000090e+04	1.022744290111565323e-04	2.512933168736465606e-02
1.891723895999999877e+04	1.123849585222597874e-04	2.568082073121161560e-02
1.890796272999999928e+04	1.234205471623809496e-04	2.624157937137273910e-02
1.889869589999999880e+04	1.354582830865887330e-04	2.681169461828973241e-02
1.888943844000000172e+04	1.485810031395176775e-04	2.739125465682194782e-02
1.888019034000000102e+04	1.628775901263810222e-04	2.798034575981814959e-02
1.887095159000000058e+04	1.784433718385071953e-04	2.857905344849867579e-02
1.886172218000000066e+04	1.953805149953049896e-04	2.918746245422282337e-02
1.885250207999999839e+04	2.137984789079113628e-04	2.980565803237629832e-02
1.884329130000000077e+04	2.338143282040168014e-04	3.043372191253403830e-02
1.883408980000000156e+04	2.555533671202867506e-04	3.107173832323943674e-02
1.882489758000000074e+04	2.791494171603460007e-04	3.171978784496446574e-02
1.881571462999999858e+04	3.047454089345754216e-04	3.237795075180019411e-02
1.880654091999999946e+04	3.324939315056420468e-04	3.304630776504833417e-02
1.879737644999999975e+04	3.625576150178887267e-04	3.372493640127183223e-02
