Wavenumber	30C-20C	40C-20C	40C-30C	50C-20C	50C-30C	50C-40C	60C-20C	60C-30C	60C-40C	60C-50C	70C-20C	70C-30C	70C-40C	70C-50C	70C-60C
1.401653951000000052e+04	-9.999999999999939493e-05	2.890000000000000208e-03	2.989999999999999603e-03	3.879999999999999769e-03	3.979999999999999163e-03	9.899999999999995609e-04	1.255000000000000039e-02	1.264999999999999979e-02	9.660000000000000184e-03	8.670000000000000623e-03	2.126000000000000112e-02	2.136000000000000398e-02	1.837000000000000438e-02	1.738000000000000309e-02	8.710000000000002462e-03
1.401156384000000071e+04	-2.100000000000001171e-04	2.280000000000000776e-03	2.490000000000000893e-03	3.740000000000000269e-03	3.950000000000000386e-03	1.459999999999999493e-03	1.244999999999999926e-02	1.265999999999999938e-02	1.016999999999999849e-02	8.709999999999998993e-03	2.038000000000000228e-02	2.059000000000000413e-02	1.810000000000000150e-02	1.664000000000000201e-02	7.930000000000003019e-03
1.400659187000000020e+04	-2.599999999999998146e-04	1.749999999999999820e-03	2.009999999999999634e-03	3.600000000000000769e-03	3.860000000000000583e-03	1.850000000000000949e-03	1.232999999999999895e-02	1.258999999999999876e-02	1.057999999999999913e-02	8.729999999999998178e-03	1.965000000000000080e-02	1.991000000000000408e-02	1.790000000000000271e-02	1.605000000000000177e-02	7.320000000000003587e-03
1.400162358999999924e+04	-2.400000000000006295e-04	1.400000000000000203e-03	1.640000000000000832e-03	3.499999999999997904e-03	3.739999999999998534e-03	2.099999999999997702e-03	1.214999999999999934e-02	1.238999999999999997e-02	1.074999999999999914e-02	8.650000000000001438e-03	1.922000000000000097e-02	1.946000000000000507e-02	1.782000000000000250e-02	1.572000000000000480e-02	7.070000000000003365e-03
1.399665898999999990e+04	-1.600000000000004197e-04	1.309999999999998666e-03	1.469999999999999085e-03	3.480000000000000454e-03	3.640000000000000874e-03	2.170000000000001789e-03	1.183999999999999983e-02	1.200000000000000025e-02	1.053000000000000116e-02	8.359999999999999376e-03	1.915999999999999995e-02	1.932000000000000037e-02	1.785000000000000128e-02	1.567999999999999949e-02	7.320000000000000118e-03
1.399169807000000037e+04	-3.000000000000051237e-05	1.499999999999999598e-03	1.530000000000000110e-03	3.539999999999998009e-03	3.569999999999998522e-03	2.039999999999998412e-03	1.140000000000000041e-02	1.143000000000000092e-02	9.900000000000000813e-03	7.860000000000002401e-03	1.949999999999999997e-02	1.952999999999999875e-02	1.800000000000000211e-02	1.596000000000000196e-02	8.099999999999999561e-03
1.398674083000000064e+04	1.299999999999999073e-04	1.899999999999998912e-03	1.769999999999999005e-03	3.659999999999998324e-03	3.529999999999998417e-03	1.759999999999999412e-03	1.080999999999999843e-02	1.067999999999999852e-02	8.909999999999999518e-03	7.150000000000000105e-03	2.017999999999999655e-02	2.004999999999999838e-02	1.827999999999999764e-02	1.651999999999999996e-02	9.369999999999999857e-03
1.398178725999999915e+04	3.099999999999995121e-04	2.469999999999999973e-03	2.160000000000000461e-03	3.809999999999999151e-03	3.499999999999999639e-03	1.339999999999999178e-03	1.011999999999999879e-02	9.809999999999999276e-03	7.649999999999998815e-03	6.309999999999999637e-03	2.110000000000000070e-02	2.079000000000000292e-02	1.863000000000000073e-02	1.729000000000000328e-02	1.098000000000000365e-02
1.397683735999999953e+04	5.000000000000004441e-04	3.069999999999999812e-03	2.569999999999999368e-03	3.940000000000000793e-03	3.440000000000000349e-03	8.700000000000009809e-04	9.359999999999998530e-03	8.859999999999998085e-03	6.289999999999998717e-03	5.419999999999997736e-03	2.208999999999999853e-02	2.158999999999999808e-02	1.901999999999999524e-02	1.814999999999999600e-02	1.272999999999999826e-02
1.397189112999999998e+04	6.800000000000000488e-04	3.610000000000000361e-03	2.930000000000000313e-03	4.020000000000001003e-03	3.340000000000000954e-03	4.100000000000006417e-04	8.630000000000000518e-03	7.950000000000000469e-03	5.020000000000000157e-03	4.609999999999999515e-03	2.299999999999999961e-02	2.231999999999999956e-02	1.938999999999999752e-02	1.897999999999999687e-02	1.436999999999999736e-02
1.396694856000000073e+04	8.299999999999991412e-04	3.969999999999999571e-03	3.140000000000000430e-03	3.999999999999998349e-03	3.169999999999999207e-03	2.999999999999877764e-05	8.009999999999998024e-03	7.179999999999998883e-03	4.039999999999998453e-03	4.009999999999999676e-03	2.366999999999999660e-02	2.283999999999999919e-02	1.969999999999999876e-02	1.966999999999999998e-02	1.566000000000000031e-02
1.396200964000000022e+04	9.799999999999999684e-04	4.129999999999999991e-03	3.150000000000000022e-03	3.889999999999999361e-03	2.909999999999999393e-03	-2.400000000000006295e-04	7.569999999999998605e-03	6.589999999999998637e-03	3.439999999999998614e-03	3.679999999999999244e-03	2.403000000000000275e-02	2.305000000000000104e-02	1.990000000000000102e-02	2.014000000000000165e-02	1.646000000000000241e-02
1.395707438000000002e+04	1.089999999999998956e-03	4.069999999999998966e-03	2.980000000000000010e-03	3.669999999999999651e-03	2.580000000000000696e-03	-3.999999999999993144e-04	7.379999999999999408e-03	6.290000000000000452e-03	3.310000000000000442e-03	3.709999999999999756e-03	2.404999999999999499e-02	2.295999999999999777e-02	1.997999999999999776e-02	2.037999999999999534e-02	1.666999999999999732e-02
1.395214276000000064e+04	1.149999999999999981e-03	3.830000000000000071e-03	2.680000000000000090e-03	3.379999999999999324e-03	2.229999999999999344e-03	-4.500000000000007466e-04	7.469999999999999210e-03	6.319999999999999230e-03	3.639999999999999139e-03	4.089999999999999886e-03	2.376999999999999946e-02	2.262000000000000122e-02	1.993999999999999939e-02	2.039000000000000187e-02	1.630000000000000199e-02
1.394721478999999999e+04	1.170000000000000900e-03	3.490000000000000047e-03	2.319999999999999146e-03	3.060000000000000220e-03	1.889999999999999319e-03	-4.299999999999998268e-04	7.829999999999998420e-03	6.659999999999997519e-03	4.339999999999998373e-03	4.769999999999998200e-03	2.331000000000000433e-02	2.213999999999999996e-02	1.982000000000000428e-02	2.025000000000000411e-02	1.548000000000000417e-02
1.394229046000000017e+04	1.109999999999999876e-03	3.109999999999999917e-03	2.000000000000000042e-03	2.740000000000001115e-03	1.630000000000001240e-03	-3.699999999999988021e-04	8.409999999999999074e-03	7.299999999999999198e-03	5.299999999999999156e-03	5.669999999999997958e-03	2.278000000000000164e-02	2.167000000000000176e-02	1.966999999999999998e-02	2.003999999999999879e-02	1.437000000000000083e-02
1.393736976999999933e+04	9.899999999999995609e-04	2.789999999999999078e-03	1.799999999999999517e-03	2.499999999999998751e-03	1.509999999999999190e-03	-2.900000000000003270e-04	9.159999999999998005e-03	8.169999999999998444e-03	6.369999999999998927e-03	6.659999999999999254e-03	2.232999999999999916e-02	2.133999999999999786e-02	1.954000000000000181e-02	1.983000000000000040e-02	1.317000000000000115e-02
1.393245269999999982e+04	7.799999999999994438e-04	2.539999999999998856e-03	1.759999999999999412e-03	2.349999999999999659e-03	1.570000000000000215e-03	-1.899999999999991973e-04	9.959999999999998369e-03	9.179999999999998925e-03	7.419999999999999513e-03	7.609999999999998710e-03	2.201999999999999791e-02	2.123999999999999500e-02	1.947999999999999732e-02	1.966999999999999652e-02	1.205999999999999781e-02
1.392753926999999931e+04	4.900000000000008515e-04	2.390000000000001498e-03	1.900000000000000647e-03	2.299999999999999961e-03	1.809999999999999110e-03	-9.000000000000153710e-05	1.071000000000000077e-02	1.021999999999999992e-02	8.319999999999999271e-03	8.410000000000000808e-03	2.190000000000000280e-02	2.141000000000000195e-02	1.950999999999999956e-02	1.960000000000000284e-02	1.119000000000000203e-02
1.392262946000000011e+04	1.600000000000004197e-04	2.330000000000000474e-03	2.170000000000000054e-03	2.380000000000000171e-03	2.219999999999999751e-03	4.999999999999969746e-05	1.134000000000000112e-02	1.118000000000000070e-02	9.010000000000000647e-03	8.960000000000000950e-03	2.195000000000000423e-02	2.179000000000000381e-02	1.962000000000000202e-02	1.957000000000000406e-02	1.061000000000000137e-02
1.391772328000000016e+04	-1.899999999999991973e-04	2.320000000000000881e-03	2.510000000000000078e-03	2.570000000000001103e-03	2.760000000000000300e-03	2.500000000000002220e-04	1.176000000000000136e-02	1.195000000000000055e-02	9.440000000000000474e-03	9.190000000000000252e-03	2.211000000000000465e-02	2.230000000000000038e-02	1.979000000000000203e-02	1.954000000000000181e-02	1.035000000000000156e-02
1.391282070000000022e+04	-5.199999999999996292e-04	2.320000000000000881e-03	2.840000000000000510e-03	2.830000000000000918e-03	3.350000000000000547e-03	5.100000000000000366e-04	1.197000000000000147e-02	1.249000000000000110e-02	9.650000000000000591e-03	9.140000000000000555e-03	2.225999999999999854e-02	2.277999999999999817e-02	1.993999999999999939e-02	1.942999999999999589e-02	1.028999999999999707e-02
1.390792173999999977e+04	-7.900000000000007710e-04	2.289999999999998634e-03	3.079999999999999405e-03	3.139999999999998695e-03	3.929999999999999466e-03	8.500000000000000611e-04	1.196999999999999800e-02	1.275999999999999877e-02	9.679999999999999369e-03	8.829999999999999308e-03	2.233000000000000262e-02	2.312000000000000166e-02	2.004000000000000226e-02	1.919000000000000566e-02	1.036000000000000462e-02
