Wavenumber	Minor Gaussian	Major Gaussian
1.963078186999999889e+04	8.404680933029521057e-09	6.873582837769186315e-04
1.962076904999999897e+04	9.797902532843116698e-09	7.158203415991066815e-04
1.961076675999999861e+04	1.141287003723670088e-08	7.453308121638435504e-04
1.960077497999999832e+04	1.328334698940164616e-08	7.759227867665812080e-04
1.959079371000000174e+04	1.544798835533199549e-08	8.076301213230100600e-04
1.958082290999999896e+04	1.795102538919041159e-08	8.404876387891228396e-04
1.957086258000000089e+04	2.084300712923615351e-08	8.745308879089097988e-04
1.956091269000000102e+04	2.418167336507874687e-08	9.097963839289832655e-04
1.955097323999999935e+04	2.803290167516559325e-08	9.463214161073014693e-04
1.954104420000000027e+04	3.247181394630338670e-08	9.841442731377038084e-04
1.953112556000000041e+04	3.758398020471715086e-08	1.023304075227236386e-03
1.952121730000000025e+04	4.346680402464845870e-08	1.063840897541178240e-03
1.951131941000000006e+04	5.023105407487980260e-08	1.105795703464491648e-03
1.950143187000000034e+04	5.800260598046333077e-08	1.149210438609482403e-03
1.949155466000000160e+04	6.692437704311082909e-08	1.194128004238794675e-03
1.948168777000000046e+04	7.715848713516107536e-08	1.240592221396376489e-03
1.947183118000000104e+04	8.888870615583427778e-08	1.288647933547185272e-03
1.946198487999999998e+04	1.023231483765128717e-07	1.338340923775415033e-03
1.945214884000000166e+04	1.176973455812777687e-07	1.389718076715801536e-03
1.944232305999999880e+04	1.352775575709023073e-07	1.442827132851186907e-03
1.943250750999999946e+04	1.553646387234237606e-07	1.497717012876097729e-03
1.942270218999999997e+04	1.782981303689672553e-07	1.554437503733386476e-03
1.941290707000000111e+04	2.044610591996699873e-07	1.613039604599881150e-03
1.940312213999999949e+04	2.342850247049967891e-07	1.673575252501995287e-03
1.939334737999999925e+04	2.682560445204121633e-07	1.736097506716417337e-03
1.938358279000000039e+04	3.069208562529285706e-07	1.800660367144900137e-03
1.937382833000000028e+04	3.508942527070240189e-07	1.867319178005313277e-03
1.936408399999999892e+04	4.008666322437998263e-07	1.936130107629821821e-03
1.935434977000000072e+04	4.576130111253365734e-07	2.007150629998083729e-03
1.934462565000000177e+04	5.220022696645525244e-07	2.080439032242919605e-03
1.933491159999999945e+04	5.950083329777071188e-07	2.156055085040623452e-03
1.932520761000000130e+04	6.777214218163827187e-07	2.234059459135611086e-03
1.931551367000000027e+04	7.713611551737546750e-07	2.314513947169043531e-03
1.930582977000000028e+04	8.772908041100204156e-07	2.397481469731909103e-03
1.929615587999999843e+04	9.970332432287979322e-07	2.483026260618878631e-03
1.928649198999999862e+04	1.132287778842377518e-06	2.571213529808436416e-03
1.927683809000000110e+04	1.284949287682558772e-06	2.662109631477109061e-03
1.926719414999999935e+04	1.457129404441194615e-06	2.755782265442556413e-03
1.925756017000000065e+04	1.651178514586387094e-06	2.852300003032601401e-03
1.924793612999999823e+04	1.869711612064817134e-06	2.951732768736095927e-03
1.923832200999999986e+04	2.115635402645692376e-06	3.054151658167902298e-03
1.922871779999999853e+04	2.392177969211024880e-06	3.159628829380491631e-03
1.921912349000000177e+04	2.702921676583014740e-06	3.268237602939844978e-03
1.920953904999999941e+04	3.051839656302597451e-06	3.380052699603002843e-03
1.919996446999999898e+04	3.443333498635133567e-06	3.495149788390606183e-03
1.919039975000000049e+04	3.882275761237993105e-06	3.613605576834483159e-03
1.918084485000000132e+04	4.374058613055004498e-06	3.735498438417559058e-03
1.917129977000000144e+04	4.924640461414467153e-06	3.860907420588871250e-03
1.916176449000000139e+04	5.540603425666492089e-06	3.989912989760964132e-03
1.915223900000000140e+04	6.229211083743078370e-06	4.122596643839643998e-03
1.914272327999999834e+04	6.998474140195101965e-06	4.259041179653628648e-03
1.913321731999999975e+04	7.857218723517238310e-06	4.399330410286044629e-03
1.912372109999999884e+04	8.815163533612669586e-06	4.543549447276349663e-03
1.911423460999999952e+04	9.882999709003060937e-06	4.691784399923262967e-03
1.910475782999999865e+04	1.107248113117913617e-05	4.844122672974631935e-03
1.909529074000000037e+04	1.239651893580413623e-05	5.000652814736770632e-03
1.908583334000000104e+04	1.386928109816647603e-05	5.161464165053249870e-03
1.907638560000000143e+04	1.550631058126871129e-05	5.326647685186812996e-03
1.906694752000000153e+04	1.732463518172485325e-05	5.496294927941607761e-03
1.905751907999999821e+04	1.934290399077852682e-05	5.670498889674290346e-03
1.904810024999999951e+04	2.158152484788137843e-05	5.849353857062486797e-03
1.903869104000000152e+04	2.406279987101108119e-05	6.032954433451769363e-03
1.902929142000000138e+04	2.681110310990237892e-05	6.221397045360207816e-03
1.901990137999999934e+04	2.985303596822902619e-05	6.414778784336308028e-03
1.901052089999999953e+04	3.321761726633201911e-05	6.613197981053456700e-03
1.900114996999999858e+04	3.693647125613912626e-05	6.816753778106307733e-03
1.899178858000000037e+04	4.104403802756267504e-05	7.025546311146405216e-03
1.898243671000000177e+04	4.557780015703123742e-05	7.239676923306240068e-03
1.897309433999999965e+04	5.057851590571071899e-05	7.459247939218946986e-03
1.896376147000000128e+04	5.609045883482344116e-05	7.684362158184410152e-03
1.895443807000000015e+04	6.216171379305596959e-05	7.915124024967416100e-03
1.894512413000000015e+04	6.884443353383740366e-05	8.151638418708032768e-03
1.893581965000000127e+04	7.619514264973020171e-05	8.394010830912323681e-03
1.892652459000000090e+04	8.427509932273971854e-05	8.642348661397810869e-03
1.891723895999999877e+04	9.315056186203122634e-05	8.896758833567199043e-03
1.890796272999999928e+04	1.028932246439841929e-04	9.157350158090550932e-03
1.889869589999999880e+04	1.135805331268070442e-04	9.424231406048512449e-03
1.888943844000000172e+04	1.252961486937299103e-04	9.697512968677832537e-03
1.888019034000000102e+04	1.381303172800638827e-04	9.977305407968452972e-03
1.887095159000000058e+04	1.521803353948581231e-04	1.026371998269487613e-02
1.886172218000000066e+04	1.675510195648536660e-04	1.055686861861643983e-02
1.885250207999999839e+04	1.843552380227903942e-04	1.085686453629281303e-02
1.884329130000000077e+04	2.027143218408976528e-04	1.116382027541545745e-02
1.883408980000000156e+04	2.227587779876039834e-04	1.147785061108083995e-02
1.882489758000000074e+04	2.446286846309082700e-04	1.179906954102059868e-02
1.881571462999999858e+04	2.684743828919520766e-04	1.212759189745116033e-02
1.880654091999999946e+04	2.944571404000111462e-04	1.246353372315798201e-02
1.879737644999999975e+04	3.227496676344949393e-04	1.280701042592085823e-02
1.878822120999999970e+04	3.535368982666300215e-04	1.315813816358866496e-02
1.877907517000000007e+04	3.870167475981366721e-04	1.351703424588118069e-02
1.876993832000000111e+04	4.234007151580533200e-04	1.388381556204623495e-02
1.876081065999999919e+04	4.629146627342140582e-04	1.425859886630235357e-02
1.875169215999999869e+04	5.057997834629875469e-04	1.464150238820322199e-02
1.874258281999999963e+04	5.523131634414413932e-04	1.503264332713676217e-02
1.873348260999999911e+04	6.027289156854294654e-04	1.543214033008973897e-02
1.872439153000000078e+04	6.573387516131158625e-04	1.584011087165514142e-02
1.871530956000000151e+04	7.164531536034191884e-04	1.625667338082502009e-02
1.870623669000000154e+04	7.804021393191727619e-04	1.668194587375528698e-02
1.869717291000000114e+04	8.495362734709155286e-04	1.711604634141707104e-02
1.868811819000000105e+04	9.242278234228621346e-04	1.755909369129551173e-02
1.867907253000000128e+04	1.004871373614846372e-03	1.801120527946924524e-02
1.867003591999999844e+04	1.091885156729549599e-03	1.847249876697761375e-02
1.866100833000000057e+04	1.185712250660094901e-03	1.894309264967947506e-02
1.865198976000000039e+04	1.286821156126224204e-03	1.942310362914418526e-02
1.864298020000000179e+04	1.395707268332810769e-03	1.991264859233937354e-02
1.863397961999999825e+04	1.512894165716814924e-03	2.041184517502364279e-02
1.862498802000000069e+04	1.638934112235842242e-03	2.092080896480496069e-02
1.861600537999999869e+04	1.774409826927532321e-03	2.143965619319281729e-02
1.860703168999999980e+04	1.919935239262404161e-03	2.196850201205794578e-02
1.859806694000000061e+04	2.076156771749007590e-03	2.250746098768742140e-02
1.858911111000000164e+04	2.243754695493800286e-03	2.305664766449679742e-02
1.858016417999999976e+04	2.423444155941441042e-03	2.361617593853966232e-02
1.857122615999999834e+04	2.615975673844666248e-03	2.418615707046926563e-02
1.856229702000000179e+04	2.822137743814243874e-03	2.476670403672215012e-02
1.855337673999999970e+04	3.042757020813813013e-03	2.535792837669872610e-02
1.854446532999999908e+04	3.278698835632352405e-03	2.595993870912293583e-02
1.853556275000000096e+04	3.530870378533155964e-03	2.657284603953018187e-02
1.852666901000000144e+04	3.800219144066384769e-03	2.719675694520894832e-02
1.851778408000000127e+04	4.087736507684522694e-03	2.783177968015657089e-02
1.850890796000000046e+04	4.394456688832673770e-03	2.847801923675679497e-02
1.850004061999999976e+04	4.721459700138740286e-03	2.913558157464898532e-02
