Wavenumber	896.7896389624932-30C-896.7896389624932-20C	896.7896389624932-40C-896.7896389624932-20C	896.7896389624932-40C-896.7896389624932-30C	896.7896389624932-50C-896.7896389624932-20C	896.7896389624932-50C-896.7896389624932-30C	896.7896389624932-50C-896.7896389624932-40C	896.7896389624932-60C-896.7896389624932-20C	896.7896389624932-60C-896.7896389624932-30C	896.7896389624932-60C-896.7896389624932-40C	896.7896389624932-60C-896.7896389624932-50C	896.7896389624932-70C-896.7896389624932-20C	896.7896389624932-70C-896.7896389624932-30C	896.7896389624932-70C-896.7896389624932-40C	896.7896389624932-70C-896.7896389624932-50C	896.7896389624932-70C-896.7896389624932-60C
1.985376210999999967e+04	2.638557195286641492e-05	8.361724372636392946e-05	5.723167177349751454e-05	1.168371567384931219e-04	9.045158478562670694e-05	3.321991301212919240e-05	4.010438462126544347e-04	3.746582742597879927e-04	3.174266024862905052e-04	2.842066894741613128e-04	1.221647014075252866e-03	1.195261442122386424e-03	1.138029770348888883e-03	1.104809857336759744e-03	8.206031678625983232e-04
1.984351335000000108e+04	2.747268031592765380e-05	8.698411787194803451e-05	5.951143755602038071e-05	1.214861847427972815e-04	9.401350442686962766e-05	3.450206687084924695e-05	4.158288081860790717e-04	3.883561278701513908e-04	3.288446903141310101e-04	2.943426234432817631e-04	1.261322645944742840e-03	1.233849965628815160e-03	1.174338528072794725e-03	1.139836461201945532e-03	8.454938377586637688e-04
1.983327549999999974e+04	2.859864114998310726e-05	9.046816182305955222e-05	6.186952067307644495e-05	1.262948055405593536e-04	9.769616439057624631e-05	3.582664371749980136e-05	4.310788055361652188e-04	4.024801643861820573e-04	3.406106437131056395e-04	3.047839999956058381e-04	1.302077680777825614e-03	1.273479039627842561e-03	1.211609518954766089e-03	1.175782875237266342e-03	8.709988752416605038e-04
1.982304853000000003e+04	2.976458531736087204e-05	9.407267082747847609e-05	6.430808551011760405e-05	1.312674291610568594e-04	1.015028438436959874e-04	3.719475833357838331e-05	4.468053122702787426e-04	4.170407269529178705e-04	3.527326414428002665e-04	3.155378831092218832e-04	1.343934082900496985e-03	1.314169497583136167e-03	1.249861412073018617e-03	1.212666653739440234e-03	8.971287706302183505e-04
1.981283242999999857e+04	3.097166392356420946e-05	9.780099484288826378e-05	6.682933091932405432e-05	1.364085360031597703e-04	1.054368720795955609e-04	3.860754116027150656e-05	4.630199389709673376e-04	4.320482750474031282e-04	3.652189441280790467e-04	3.266114029678075402e-04	1.386913935080708645e-03	1.355942271157144436e-03	1.289112940237820354e-03	1.250505399077548848e-03	9.238939961097413075e-04
1.980262718999999925e+04	3.222105044784688392e-05	1.016565449740547248e-04	6.943549452620784092e-05	1.417226856335321772e-04	1.095016351856852933e-04	4.006614065947745234e-05	4.797344594472807830e-04	4.475134089994338990e-04	3.780779144732260852e-04	3.380117738137486329e-04	1.431039508217647705e-03	1.398818457769800822e-03	1.329382963243593008e-03	1.289316822584115393e-03	9.513050487703668141e-04
1.979243277999999918e+04	3.351394335612353933e-05	1.056428013628854491e-04	7.212885800676190973e-05	1.472145275638857829e-04	1.137005842077622435e-04	4.157172620100033382e-05	4.969608431474325811e-04	4.634468997913090689e-04	3.913180417845471592e-04	3.497463155835468253e-04	1.476333344443206842e-03	1.442819401087083167e-03	1.370690543080321311e-03	1.329118816879320923e-03	9.793725012957740436e-04
1.978224918999999863e+04	3.485156122923357361e-05	1.097632979913510764e-04	7.491173676211750282e-05	1.528887802154279131e-04	1.180372189861943395e-04	4.312548222407683665e-05	5.147111876595250168e-04	4.798596264302914974e-04	4.049478896681739945e-04	3.618224074440971579e-04	1.522818077079602251e-03	1.487966515850368569e-03	1.413054779088251120e-03	1.369929296864174284e-03	1.008106889420077017e-03
1.977207640000000174e+04	3.623514646731106591e-05	1.140216339493915288e-04	7.778648748208046287e-05	1.587502463614879418e-04	1.225150998941768759e-04	4.472861241209641304e-05	5.329977659523404054e-04	4.967626194850293395e-04	4.189761320029488766e-04	3.742475195908524636e-04	1.570516553560315090e-03	1.534281407093004024e-03	1.456494919610923453e-03	1.411766307198827203e-03	1.037518787607974793e-03
1.976191439000000173e+04	3.766596408283449243e-05	1.184214695477168533e-04	8.075550546488236090e-05	1.648038076841319114e-04	1.271378436012974189e-04	4.638233813641505802e-05	5.518330079499249525e-04	5.141670438670904600e-04	4.334115384022080991e-04	3.870292002657930411e-04	1.619451785130985883e-03	1.581785821048151391e-03	1.501030315583269138e-03	1.454647977446854026e-03	1.067618777181061039e-03
