Wavenumber	30C-20C	40C-20C	40C-30C	50C-20C	50C-30C	50C-40C	60C-20C	60C-30C	60C-40C	60C-50C	70C-20C	70C-30C	70C-40C	70C-50C	70C-60C
1.971126551000000109e+04	4.611057767877171139e-05	1.824177825174114762e-04	1.363072048386397648e-04	2.836972027046377612e-04	2.375866250258660498e-04	1.012794201872262850e-04	8.778399301864874557e-04	8.317293525077157443e-04	6.954221476690759796e-04	5.941427274818496945e-04	2.628156376606105224e-03	2.582045798927333404e-03	2.445738594088693423e-03	2.344459173901467137e-03	1.750316446419617660e-03
1.970116785000000164e+04	4.792083979540158337e-05	1.894440059330035841e-04	1.415231661376020007e-04	2.945398969606469988e-04	2.466190571652454155e-04	1.050958910276434148e-04	9.084727119506453685e-04	8.605518721552437309e-04	7.190287060176417302e-04	6.139328149899983154e-04	2.708132427214189619e-03	2.660211587418788090e-03	2.518688421281185981e-03	2.413592530253542458e-03	1.799659715263544251e-03
1.969108084999999846e+04	4.979265191876864304e-05	1.967037819878619462e-04	1.469111300690933031e-04	3.057403399966270811e-04	2.559476880778584380e-04	1.090365580087651349e-04	9.400113950002319954e-04	8.902187430814633524e-04	7.433076130123700493e-04	6.342710550036049144e-04	2.790121324412746240e-03	2.740328672493977380e-03	2.593417542424884294e-03	2.484380984416118942e-03	1.850109929412514136e-03
1.968100449999999910e+04	5.172771615174923208e-05	2.042033710143943063e-04	1.524756548626450743e-04	3.173080578453307712e-04	2.655803416935815391e-04	1.131046868309364649e-04	9.724766724012261741e-04	9.207489562494770505e-04	7.682733013868319220e-04	6.551686145558954571e-04	2.874159654993797743e-03	2.822431938842048186e-03	2.669956283979403166e-03	2.556851597148466701e-03	1.901682982592571352e-03
1.967093878000000041e+04	5.372776921239559795e-05	2.119491536971508856e-04	1.582213844847552876e-04	3.292527590770195412e-04	2.755249898646239433e-04	1.173036053798686557e-04	1.005889535581120731e-03	9.521617663687251872e-04	7.939403818839698996e-04	6.766367765041012439e-04	2.960284322878327466e-03	2.906556553665931922e-03	2.748335169181176200e-03	2.631031563801307545e-03	1.954394787297206518e-03
1.966088366999999926e+04	5.579458083686402673e-05	2.199476244777288187e-04	1.641530436408647920e-04	3.415843246213220389e-04	2.857897437844580122e-04	1.216367001435932202e-04	1.040271241340038830e-03	9.844766605031749114e-04	8.203236168623100110e-04	6.986869167187167908e-04	3.048532459084520897e-03	2.992737878247656979e-03	2.828584834606791970e-03	2.706948134463199075e-03	2.008261217744482068e-03
1.965083915999999954e+04	5.792995176963719071e-05	2.282053833856803951e-04	1.702754316160432044e-04	3.543127951769715423e-04	2.963828434073343516e-04	1.261074117912911472e-04	1.075643272766239325e-03	1.017713320996602080e-03	8.474378893805589296e-04	7.213304775892677824e-04	3.138941318310903370e-03	3.081011366541266342e-03	2.910735934925222975e-03	2.784628523133931936e-03	2.063298045544664262e-03
1.964080523000000176e+04	6.013571800604660582e-05	2.367291520490564811e-04	1.765934340430098753e-04	3.674483958950373842e-04	3.073126778889907784e-04	1.307192438459809031e-04	1.112027403939804373e-03	1.051891685933757821e-03	8.752982518907478915e-04	7.445790080447669884e-04	3.231548441615934245e-03	3.171412723609887477e-03	2.994819289566877547e-03	2.864100045720896753e-03	2.119521037676129656e-03
1.963078186999999889e+04	6.241374665422720234e-05	2.455257572762674823e-04	1.831120106220402799e-04	3.810015110693071067e-04	3.185877644150799043e-04	1.354757537930396244e-04	1.149445625518470161e-03	1.087031878864242905e-03	9.039198682422026248e-04	7.684441144491630004e-04	3.326391463036849905e-03	3.263977716382622865e-03	3.080865705760582694e-03	2.945389951967543069e-03	2.176945837518379744e-03
1.962076904999999897e+04	6.476594282517892558e-05	2.546021572386762753e-04	1.898362144134973497e-04	3.949827244712647112e-04	3.302167816460857856e-04	1.403805672325884359e-04	1.187920252067815267e-03	1.123154309242636179e-03	9.333180948291389372e-04	7.929375275965505013e-04	3.423508378690125285e-03	3.358742435864946630e-03	3.168906221451449172e-03	3.028525654218860736e-03	2.235588126622310018e-03
1.961076675999999861e+04	6.719424063757862371e-05	2.639654062990915502e-04	1.967711656615129265e-04	4.094027651499028094e-04	3.422085245123241857e-04	1.454373588508112592e-04	1.227473768357547051e-03	1.160279527719968590e-03	9.635083620584555548e-04	8.180710032076442956e-04	3.522937154258263138e-03	3.455742913620684243e-03	3.258971747959171425e-03	3.113534389108360383e-03	2.295463385900716087e-03
