wavenumber	20ºC	30°C	40°C	50°C	60°C	70°C
18571,22616	0,0211	0,02261	0,02482	0,02843	0,03709	0,05931
18562,29702	0,02187	0,02328	0,02539	0,02931	0,03768	0,05982
18553,37674	0,02268	0,02391	0,02606	0,03021	0,03841	0,0601
18544,46533	0,0235	0,02453	0,02684	0,03111	0,03931	0,06028
18535,56275	0,0243	0,02517	0,02776	0,03201	0,0404	0,06049
18526,66901	0,02508	0,02588	0,02881	0,0329	0,04165	0,06087
18517,78408	0,02581	0,02665	0,02995	0,0338	0,04303	0,0615
18508,90796	0,02651	0,02751	0,03117	0,03472	0,04448	0,06244
18500,04062	0,02719	0,02844	0,0324	0,03567	0,04594	0,06368
18491,18207	0,02789	0,02942	0,03361	0,03668	0,04736	0,06516
18482,33228	0,02864	0,03046	0,03478	0,03775	0,0487	0,06682
18473,49124	0,02948	0,03152	0,03589	0,03892	0,04994	0,06856
18464,65894	0,03041	0,0326	0,03695	0,0402	0,05108	0,0703
18455,83536	0,03147	0,03372	0,03798	0,04162	0,05215	0,07198
18447,0205	0,03264	0,03488	0,03902	0,04319	0,0532	0,07356
18438,21434	0,0339	0,03609	0,04012	0,04491	0,05427	0,07502
18429,41686	0,03522	0,03735	0,0413	0,04677	0,05542	0,07638
18420,62806	0,03657	0,03867	0,0426	0,04871	0,05671	0,07768
18411,84792	0,03792	0,04002	0,04403	0,05067	0,05814	0,07897
18403,07643	0,03924	0,04139	0,04557	0,05258	0,05974	0,08031
18394,31357	0,04051	0,04275	0,04719	0,05434	0,06147	0,08175
18385,55934	0,04175	0,04408	0,04887	0,05591	0,0633	0,08334
18376,81372	0,04299	0,04537	0,05058	0,05724	0,06517	0,0851
18368,07669	0,04425	0,04662	0,05228	0,05836	0,06706	0,08704
18359,34825	0,04559	0,04784	0,05399	0,05932	0,06892	0,08913
18350,62839	0,04703	0,04908	0,05571	0,0602	0,07075	0,09131
18341,91708	0,04861	0,05038	0,05747	0,06113	0,07257	0,09353
18333,21432	0,05034	0,05179	0,05931	0,06222	0,07442	0,0957
18324,52009	0,05223	0,05335	0,06125	0,06357	0,07636	0,09775
18315,83439	0,05425	0,0551	0,06334	0,06524	0,07846	0,09964
18307,1572	0,05637	0,05705	0,06556	0,06725	0,08076	0,10134
18298,4885	0,05858	0,05919	0,06792	0,06958	0,08329	0,10288
