peakcenter	17269.041071847205-20°C	17254.243167289234-30°C	17248.118550349533-40°C	17233.344376234996-50°C	17222.547452456358-60°C	17199.639830854983-70°C
1.867907253000000128e+04	1.481864757643695449e-02	1.466124367789013033e-02	1.460080345758825102e-02	1.446407233688065154e-02	1.437229825339221730e-02	1.419777188032943921e-02
1.867003591999999844e+04	1.527263218202608124e-02	1.510451495399287025e-02	1.503998735036940829e-02	1.489412369450850322e-02	1.479629768409439043e-02	1.461047530201622924e-02
1.866100833000000057e+04	1.574098809852676056e-02	1.556141398437497353e-02	1.549251397653619508e-02	1.533687993438322128e-02	1.523257806143998340e-02	1.503466659944011942e-02
1.865198976000000039e+04	1.622428243507566259e-02	1.603246127997311199e-02	1.595888575519964145e-02	1.579280252696965356e-02	1.568157325458893400e-02	1.547072711154924736e-02
1.864298020000000179e+04	1.672311064497378902e-02	1.651820337697234090e-02	1.643963020924246385e-02	1.626237591475274830e-02	1.614373862986571290e-02	1.591905677607564559e-02
1.863397961999999825e+04	1.723809843556686761e-02	1.701921466435100949e-02	1.693530175862753562e-02	1.674610922291558043e-02	1.661955270146029187e-02	1.638007565545635674e-02
1.862498802000000069e+04	1.776990022453124596e-02	1.753609585586877670e-02	1.744648019548479187e-02	1.724453473496858832e-02	1.710951560199495611e-02	1.685422238452833135e-02
1.861600537999999869e+04	1.831920324778384124e-02	1.806947796653785368e-02	1.797377460735781127e-02	1.775821169033124647e-02	1.761415279107979640e-02	1.734195769868324133e-02
1.860703168999999980e+04	1.888672714609952383e-02	1.862002189367443702e-02	1.851782295300053241e-02	1.828772584141510893e-02	1.813401459405631841e-02	1.784376392357586369e-02
1.859806694000000061e+04	1.947322585740718717e-02	1.918842024559066356e-02	1.907929386352874221e-02	1.883369118594928684e-02	1.866967788248988236e-02	1.836014654332206869e-02
1.858911111000000164e+04	2.007948965017224141e-02	1.977539930862608902e-02	1.965888858073064349e-02	1.939675183351059068e-02	1.922174788662838613e-02	1.889163589573571861e-02
1.858016417999999976e+04	2.070634588827892711e-02	2.038171978927568948e-02	2.025734168704518626e-02	1.997758270052063523e-02	1.979085886051992760e-02	1.943878776479462250e-02
1.857122615999999834e+04	2.135465819248561631e-02	2.100817601686912756e-02	2.087542032053511798e-02	2.057688874477640872e-02	2.037767332274727228e-02	2.000218261577296069e-02
1.856229702000000179e+04	2.202533277742620491e-02	2.165560208847497337e-02	2.151393024257373249e-02	2.119541085189057678e-02	2.098288781525095917e-02	2.058243109698022419e-02
1.855337673999999970e+04	2.271931639015033894e-02	2.232486989668684696e-02	2.217371389610311300e-02	2.183392395326040625e-02	2.160723105370078445e-02	2.118017223221066100e-02
1.854446532999999908e+04	2.343759591616908014e-02	2.301688878976681021e-02	2.285565008280351917e-02	2.249323673277487529e-02	2.225146364648291838e-02	2.179607314383710109e-02
