Wavenumber	20°C	30°C	40°C	50°C	60°C	70°C
1.901052089999999953e+04	4.873966150689892397e-03	5.344287118206679336e-03	6.646415598319788814e-03	7.589700490776407800e-03	1.170656545088289736e-02	2.061086463195110560e-02
1.900114996999999858e+04	5.034796254158742899e-03	5.517785235449954549e-03	6.853690249362446446e-03	7.821031971846931913e-03	1.202625772996056622e-02	2.108744522041656674e-02
1.899178858000000037e+04	5.200274804776821094e-03	5.696210620302025185e-03	7.066590349173967715e-03	8.058449941726344989e-03	1.235332879198712368e-02	2.157291703930275945e-02
1.898243671000000177e+04	5.370524308304136345e-03	5.879690745409159661e-03	7.285254723463272485e-03	8.302097031192943663e-03	1.268792673462340939e-02	2.206741179688735330e-02
1.897309433999999965e+04	5.545671194421145263e-03	6.068357091019642262e-03	7.509826455124658275e-03	8.552119930283149513e-03	1.303020354419111640e-02	2.257106406808644106e-02
1.896376147000000128e+04	5.725845647611712760e-03	6.262344945266590246e-03	7.740452617019233546e-03	8.808669047594128165e-03	1.338031455492776078e-02	2.308401037581233120e-02
1.895443807000000015e+04	5.911182795943449239e-03	6.461794664837957128e-03	7.977285738760473560e-03	9.071900096050140860e-03	1.373842053395965025e-02	2.360639211562415296e-02
1.894512413000000015e+04	6.101822013976137757e-03	6.666850902756153892e-03	8.220482852241870267e-03	9.341972981113598820e-03	1.410468607346231258e-02	2.413835305018749433e-02
1.893581965000000127e+04	6.297907349146145313e-03	6.877663044637317286e-03	8.470205973562053639e-03	9.619052285920930492e-03	1.447928016725506112e-02	2.468004001823550023e-02
1.892652459000000090e+04	6.499588879947336070e-03	7.094386643312368054e-03	8.726623760720550113e-03	9.903309054947127474e-03	1.486237852288214457e-02	2.523160611637581194e-02
1.891723895999999877e+04	6.707021112518981622e-03	7.317181667582167356e-03	8.989909395429231814e-03	1.019491838603544392e-02	1.525416020660030902e-02	2.579320568973387379e-02
1.890796272999999928e+04	6.920365247481328336e-03	7.546214908296801360e-03	9.260243382734536371e-03	1.049406247293787828e-02	1.565481163850506938e-02	2.636499991853512304e-02
1.889869589999999880e+04	7.139787981779849996e-03	7.781658658586552806e-03	9.537811939175319317e-03	1.080092875451285975e-02	1.606452398896658987e-02	2.694715290137631933e-02
1.888943844000000172e+04	7.365463261998817651e-03	8.023692560752047898e-03	9.822809117371563911e-03	1.111571219725639159e-02	1.648349611541450807e-02	2.753983565996146604e-02
1.888019034000000102e+04	7.597571513449617904e-03	8.272502740551407677e-03	1.011543572524851650e-02	1.143861402775328551e-02	1.691193274038738439e-02	2.814322334994453015e-02
1.887095159000000058e+04	7.836300512452144124e-03	8.528282702101428955e-03	1.041590031808973388e-02	1.176984275444832063e-02	1.735004568600936534e-02	2.875749682033718405e-02
1.886172218000000066e+04	8.081845830321832819e-03	8.791233759399743469e-03	1.072441963818129493e-02	1.210961457364611443e-02	1.779805427406641605e-02	2.938284296921812866e-02
