Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.978224918999999863e+04	9.394807147663434676e-04	1.207398679050843485e-03	2.679179642845000171e-04	1.688682089095552494e-03	7.492013743292090262e-04	4.812834100447090091e-04
1.977207640000000174e+04	9.708443172051411723e-04	1.246670279574424445e-03	2.758259623692831640e-04	1.742260322637713670e-03	7.714160054325723895e-04	4.955900430632892255e-04
1.976191439000000173e+04	1.003086215101066988e-03	1.287005607300571080e-03	2.839193921995040917e-04	1.797246895830155239e-03	7.941606807290882506e-04	5.102412885295841589e-04
1.975176314999999886e+04	1.036224975321015443e-03	1.328425997088565191e-03	2.922010217675499646e-04	1.853668833797910646e-03	8.174438584768954196e-04	5.252428367093454550e-04
1.974162266000000091e+04	1.070279394914479092e-03	1.370953015181513007e-03	3.006736202670339149e-04	1.911553424944095834e-03	8.412740300296167421e-04	5.406004097625828272e-04
1.973149290000000110e+04	1.105268466790227094e-03	1.414608415499040914e-03	3.093399487088138201e-04	1.970928161029652549e-03	8.656596942394254555e-04	5.563197455306116354e-04
1.972137385999999969e+04	1.141211339543728685e-03	1.459414088863645199e-03	3.182027493199165134e-04	2.031820667923456281e-03	8.906093283797275953e-04	5.724065790598110819e-04
1.971126551000000109e+04	1.178127419106208889e-03	1.505392189043253419e-03	3.272647699370445293e-04	2.094258876686177530e-03	9.161314575799688574e-04	5.888666876429243281e-04
1.970116785000000164e+04	1.216036183948985151e-03	1.552564901825691582e-03	3.365287178767064312e-04	2.158270709653692908e-03	9.422345257047077573e-04	6.057058078280013261e-04
1.969108084999999846e+04	1.254957399340814661e-03	1.600954711219614588e-03	3.459973118787999270e-04	2.223884441757988453e-03	9.689270424171740094e-04	6.229297305383740824e-04
1.968100449999999910e+04	1.294910927038970790e-03	1.650584161911042161e-03	3.556732348720713713e-04	2.291128377922783260e-03	9.962174508838126871e-04	6.405442160117413158e-04
1.967093878000000041e+04	1.335916833102080955e-03	1.701475992794634516e-03	3.655591596925535612e-04	2.360031034115497167e-03	1.024114201013416429e-03	6.585550413208628683e-04
1.966088366999999926e+04	1.377995345340028190e-03	1.753653083419367750e-03	3.756577380793395607e-04	2.430621064558768051e-03	1.052625719218739861e-03	6.769679811394003002e-04
1.965083915999999954e+04	1.421166804007290615e-03	1.807138392335641205e-03	3.859715883283505906e-04	2.502927178309935236e-03	1.081760374302644621e-03	6.957887859742940308e-04
1.964080523000000176e+04	1.465451739428131782e-03	1.861955052802270359e-03	3.965033133741385774e-04	2.576978268691817661e-03	1.111526529263686097e-03	7.150232158895475192e-04
1.963078186999999889e+04	1.510870779679578807e-03	1.918126257894240717e-03	4.072554782146619104e-04	2.652803257950599267e-03	1.141932478271020460e-03	7.346770000563585500e-04
1.962076904999999897e+04	1.557444779449096905e-03	1.975675419373911987e-03	4.182306399248148648e-04	2.730431311725235212e-03	1.172986532276138090e-03	7.547558923513232251e-04
1.961076675999999861e+04	1.605194632050046958e-03	2.034625934719839699e-03	4.294313026697925244e-04	2.809891524577175226e-03	1.204696892527128051e-03	7.752655898573355270e-04
1.960077497999999832e+04	1.654141399008512677e-03	2.095001346911228891e-03	4.408599479027159977e-04	2.891213135698468203e-03	1.237071736689955310e-03	7.962117887872393121e-04
1.959079371000000174e+04	1.704306156401941578e-03	2.156825154431736731e-03	4.525189980297953697e-04	2.974425273033967990e-03	1.270119116632026628e-03	8.176001186022312586e-04
1.958082290999999896e+04	1.755710287684002007e-03	2.220121171787605222e-03	4.644108841036034309e-04	3.059557438654318673e-03	1.303847150970316882e-03	8.394362668667134514e-04
