peakcenter	17289.8119463758-20°C	17277.150453038626-40°C	17271.260566842393-45°C	17262.46575968384-50°C
1.903869104000000152e+04	1.007708327456619674e-02	1.199433706340827764e-02	1.200137206548457236e-02	1.244150532954491073e-02
1.902929142000000138e+04	1.036356907985911541e-02	1.232557038264184973e-02	1.233264352128166097e-02	1.278270425067145818e-02
1.901990137999999934e+04	1.065681192575094506e-02	1.266428096798041456e-02	1.267138262531289361e-02	1.313151488147745911e-02
1.901052089999999953e+04	1.095693778692985454e-02	1.301059593229917169e-02	1.301771541732117676e-02	1.348806235189542978e-02
1.900114996999999858e+04	1.126407469938332274e-02	1.336464392852731303e-02	1.337176938097287167e-02	1.385247303487144310e-02
1.899178858000000037e+04	1.157835319779090127e-02	1.372655560750048014e-02	1.373367389400330200e-02	1.422487499436871083e-02
1.898243671000000177e+04	1.189990681216915140e-02	1.409646413864395001e-02	1.410356074059160303e-02	1.460539849580708496e-02
1.897309433999999965e+04	1.222887191528442691e-02	1.447450497908465972e-02	1.448156387160591703e-02	1.499417574129289360e-02
1.896376147000000128e+04	1.256538717061829111e-02	1.486081518314261857e-02	1.486781870481525443e-02	1.539134013124258092e-02
1.895443807000000015e+04	1.290959550584238821e-02	1.525553560805251174e-02	1.526246432035315362e-02	1.579702850197642339e-02
1.894512413000000015e+04	1.326164253907620785e-02	1.565880904146036909e-02	1.566564157782782477e-02	1.621137916792677464e-02
1.893581965000000127e+04	1.362167710723540329e-02	1.607078074209723761e-02	1.607749364580155285e-02	1.663453244401553316e-02
1.892652459000000090e+04	1.398985346532551424e-02	1.649160088284324852e-02	1.649816843220116083e-02	1.706663311838548316e-02
1.891723895999999877e+04	1.436632804242330558e-02	1.692142076316265412e-02	1.692781478533367939e-02	1.750782652392151098e-02
1.890796272999999928e+04	1.475126326565640196e-02	1.736039709982645229e-02	1.736658676990011224e-02	1.795826290364444661e-02
1.889869589999999880e+04	1.514482504721035953e-02	1.780868907104174101e-02	1.781464069826770025e-02	1.841809433333694082e-02
1.888943844000000172e+04	1.554718559976435779e-02	1.826646143672564296e-02	1.827213823454940794e-02	1.888747787795304681e-02
1.888019034000000102e+04	1.595852168570101315e-02	1.873388244778127071e-02	1.873924428943244888e-02	1.936657339897307831e-02
1.887095159000000058e+04	1.637901580903159543e-02	1.921112510515217767e-02	1.921612826241553967e-02	1.985554479623313426e-02
