Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.702034932000000117e+04	2.966000000000001968e-02	3.702000000000005286e-02	7.360000000000033182e-03	4.620999999999997332e-02	1.654999999999995364e-02	9.189999999999920455e-03
1.701289476999999897e+04	2.996999999999994113e-02	3.699999999999992184e-02	7.029999999999980709e-03	4.781999999999997364e-02	1.785000000000003251e-02	1.082000000000005180e-02
1.700544699000000037e+04	3.020000000000000462e-02	3.676999999999996938e-02	6.569999999999964757e-03	4.920000000000002149e-02	1.900000000000001688e-02	1.243000000000005212e-02
1.699800595999999859e+04	3.038000000000007361e-02	3.649000000000002242e-02	6.109999999999948805e-03	5.020999999999997687e-02	1.982999999999990326e-02	1.371999999999995445e-02
1.699057168000000092e+04	3.054999999999996607e-02	3.635999999999994792e-02	5.809999999999981846e-03	5.081999999999997630e-02	2.027000000000001023e-02	1.446000000000002839e-02
1.698314414000000033e+04	3.070999999999990404e-02	3.649999999999997691e-02	5.790000000000072866e-03	5.098999999999997979e-02	2.028000000000007574e-02	1.449000000000000288e-02
1.697572333000000071e+04	3.090999999999999304e-02	3.699999999999992184e-02	6.089999999999928804e-03	5.079999999999995630e-02	1.988999999999996326e-02	1.380000000000003446e-02
1.696830924999999843e+04	3.117000000000003102e-02	3.781000000000001027e-02	6.639999999999979252e-03	5.034000000000005137e-02	1.917000000000002036e-02	1.253000000000004110e-02
1.696090188000000126e+04	3.154000000000001247e-02	3.888000000000002565e-02	7.340000000000013181e-03	4.979000000000000092e-02	1.824999999999998845e-02	1.090999999999997527e-02
1.695350120999999854e+04	3.203000000000000291e-02	4.004999999999991900e-02	8.019999999999916085e-03	4.929999999999989946e-02	1.726999999999989654e-02	9.249999999999980460e-03
1.694610723000000144e+04	3.261999999999998234e-02	4.112999999999999989e-02	8.510000000000017550e-03	4.900000000000004352e-02	1.638000000000006118e-02	7.870000000000043627e-03
1.693871993999999904e+04	3.331000000000006178e-02	4.198999999999997179e-02	8.679999999999910010e-03	4.900999999999999801e-02	1.569999999999993623e-02	7.020000000000026219e-03
1.693133932999999888e+04	3.406000000000009020e-02	4.249000000000002775e-02	8.429999999999937543e-03	4.936000000000007049e-02	1.529999999999998028e-02	6.870000000000042739e-03
1.692396538000000146e+04	3.477000000000007862e-02	4.258000000000006224e-02	7.809999999999983622e-03	5.002000000000006441e-02	1.524999999999998579e-02	7.440000000000002167e-03
1.691659809999999925e+04	3.542999999999996152e-02	4.231999999999991324e-02	6.889999999999951719e-03	5.092999999999991978e-02	1.549999999999995826e-02	8.610000000000006537e-03
1.690923746000000028e+04	3.600000000000003197e-02	4.183000000000003382e-02	5.830000000000001847e-03	5.198000000000002618e-02	1.597999999999999421e-02	1.014999999999999236e-02
1.690188346000000092e+04	3.642999999999996241e-02	4.127999999999998337e-02	4.850000000000020961e-03	5.302999999999991054e-02	1.659999999999994813e-02	1.174999999999992717e-02
1.689453609000000142e+04	3.674999999999994937e-02	4.083999999999998742e-02	4.090000000000038050e-03	5.399999999999993694e-02	1.724999999999998757e-02	1.315999999999994952e-02
1.688719535000000178e+04	3.700999999999998735e-02	4.070000000000006946e-02	3.690000000000082103e-03	5.480000000000007088e-02	1.779000000000008352e-02	1.410000000000000142e-02
1.687986121999999887e+04	3.722999999999998533e-02	4.092000000000006743e-02	3.690000000000082103e-03	5.539000000000005031e-02	1.816000000000006498e-02	1.446999999999998288e-02
1.687253369000000021e+04	3.747000000000000330e-02	4.152000000000000135e-02	4.049999999999998046e-03	5.579999999999996074e-02	1.832999999999995744e-02	1.427999999999995939e-02
1.686521275999999853e+04	3.777999999999992475e-02	4.244999999999998774e-02	4.670000000000062990e-03	5.604999999999993321e-02	1.827000000000000846e-02	1.359999999999994547e-02
1.685789842000000135e+04	3.813999999999995172e-02	4.354999999999997762e-02	5.410000000000025899e-03	5.620000000000002771e-02	1.806000000000007599e-02	1.265000000000005009e-02
1.685059064999999828e+04	3.856999999999999318e-02	4.471000000000002750e-02	6.140000000000034319e-03	5.632999999999999119e-02	1.775999999999999801e-02	1.161999999999996369e-02
1.684328945999999996e+04	3.900999999999998913e-02	4.578999999999999737e-02	6.780000000000008242e-03	5.647999999999997467e-02	1.746999999999998554e-02	1.068999999999997730e-02
1.683599481999999989e+04	3.944999999999998508e-02	4.670999999999991825e-02	7.259999999999933173e-03	5.670999999999992713e-02	1.725999999999994206e-02	1.000000000000000888e-02
1.682870673000000170e+04	3.986000000000000654e-02	4.745999999999994667e-02	7.599999999999940137e-03	5.705000000000004512e-02	1.719000000000003858e-02	9.590000000000098446e-03
1.682142519000000175e+04	4.023000000000009901e-02	4.809000000000007713e-02	7.859999999999978115e-03	5.754999999999999005e-02	1.731999999999989104e-02	9.459999999999912923e-03
1.681415018000000055e+04	4.059000000000001496e-02	4.866000000000003656e-02	8.070000000000021600e-03	5.818000000000000949e-02	1.758999999999999453e-02	9.519999999999972928e-03
