Wavenumber	874.3768121211048-40C-874.3768121211048-20C	874.3768121211048-45C-874.3768121211048-20C	874.3768121211048-45C-874.3768121211048-40C	874.3768121211048-50C-874.3768121211048-20C	874.3768121211048-50C-874.3768121211048-40C	874.3768121211048-50C-874.3768121211048-45C
1.984351335000000108e+04	3.741023783795032571e-04	5.326449089331270923e-04	1.585425305536238352e-04	7.265005496376245172e-04	3.523981712581212601e-04	1.938556407044974249e-04
1.983327549999999974e+04	3.865164191869113622e-04	5.500071926447289801e-04	1.634907734578176178e-04	7.497160299414874296e-04	3.631996107545760674e-04	1.997088372967584496e-04
1.982304853000000003e+04	3.992701311825637986e-04	5.678343387648647099e-04	1.685642075823009112e-04	7.735382810862789739e-04	3.742681499037151752e-04	2.057039423214142640e-04
1.981283242999999857e+04	4.123701767749421345e-04	5.861351666760798371e-04	1.737649899011377026e-04	7.979783928176126077e-04	3.856082160426704732e-04	2.118432261415327707e-04
1.980262718999999925e+04	4.258232602957973730e-04	6.049185423807263481e-04	1.790952820849289751e-04	8.230475010971944824e-04	3.972242408013971094e-04	2.181289587164681344e-04
1.979243277999999918e+04	4.396361526150866688e-04	6.241934128330045356e-04	1.845572602179178668e-04	8.487568338979616317e-04	4.091206812828749630e-04	2.245634210649570962e-04
1.978224918999999863e+04	4.538156355029230628e-04	6.439687282600238712e-04	1.901530927571008084e-04	8.751176075599774971e-04	4.213019720570544344e-04	2.311488792999536260e-04
1.977207640000000174e+04	4.683685383472786876e-04	6.642534934368691212e-04	1.958849550895904335e-04	9.021410952603278049e-04	4.337725569130491173e-04	2.378876018234586838e-04
1.976191439000000173e+04	4.833017220459021263e-04	6.850567452160760988e-04	2.017550231701739725e-04	9.298385970721653607e-04	4.465368750262632344e-04	2.447818518560892619e-04
1.975176314999999886e+04	4.986220604988060492e-04	7.063875267892599438e-04	2.077654662904538947e-04	9.582214057789069893e-04	4.595993452801009401e-04	2.518338789896470455e-04
1.974162266000000091e+04	5.143364666475408161e-04	7.282549240024347977e-04	2.139184573548939816e-04	9.873008552986370194e-04	4.729643886510960949e-04	2.590459312962021133e-04
1.973149290000000110e+04	5.304518749325359611e-04	7.506680409511346441e-04	2.202161660185986830e-04	1.017088288253138999e-03	4.866364133206029299e-04	2.664202473020042469e-04
1.972137385999999969e+04	5.469752212160588177e-04	7.736359721302679422e-04	2.266607509142091244e-04	1.047595019069834160e-03	5.006197978537753421e-04	2.739590469395662177e-04
1.971126551000000109e+04	5.639134879028219645e-04	7.971678652234572178e-04	2.332543773206352533e-04	1.078832417489065726e-03	5.149189295862437610e-04	2.816645522656085077e-04
1.970116785000000164e+04	5.812736174477587097e-04	8.212728009858048708e-04	2.399991835380461611e-04	1.110811749181539248e-03	5.295381317337805385e-04	2.895389481957343775e-04
1.969108084999999846e+04	5.990626090359970138e-04	8.459599276445552152e-04	2.468973186085582014e-04	1.143544354281065883e-03	5.444817452450688693e-04	2.975844266365106679e-04
1.968100449999999910e+04	6.172874297270803095e-04	8.712383375861613728e-04	2.539509078590810633e-04	1.177041483877511825e-03	5.597540541504315154e-04	3.058031462913504521e-04
1.967093878000000041e+04	6.359550621870841552e-04	8.971171337348003705e-04	2.611620715477162152e-04	1.211314388214813822e-03	5.753593260277296666e-04	3.141972544800134513e-04
1.966088366999999926e+04	6.550724835665275650e-04	9.236054003369028199e-04	2.685329167703752549e-04	1.246374278078187610e-03	5.913017945116600445e-04	3.227688777412847897e-04
1.965083915999999954e+04	6.746466415282043570e-04	9.507121698874177601e-04	2.760655283592134031e-04	1.282232281198532678e-03	6.075856396703283209e-04	3.315201113111149178e-04
1.964080523000000176e+04	6.946844879042748076e-04	9.784464698980172015e-04	2.837619819937423939e-04	1.318899504319028491e-03	6.242150164147536838e-04	3.404530344210112899e-04
1.963078186999999889e+04	7.151929352441741168e-04	1.006817262868624999e-03	2.916243276244508825e-04	1.356386953958852674e-03	6.411940187146785569e-04	3.495696910902276744e-04
1.962076904999999897e+04	7.361789134196436175e-04	1.035833524748906763e-03	2.996546113292631458e-04	1.394705640266256019e-03	6.585267268466124015e-04	3.588721155173492557e-04
1.961076675999999861e+04	7.576492831638742889e-04	1.065504125491717816e-03	3.078548423278435267e-04	1.433866419366070736e-03	6.762171362021964470e-04	3.683622938743529203e-04
