Wavenumber	Major Gaussian	Minor Gaussian
1.961076675999999861e+04	5.204401406770291717e-09	3.527000721499782849e-03
1.960077497999999832e+04	6.102504995531054491e-09	3.643423567537015881e-03
1.959079371000000174e+04	7.149527402682929938e-09	3.763136121930155467e-03
1.958082290999999896e+04	8.369115597932552210e-09	3.886212584894100600e-03
1.957086258000000089e+04	9.788491462939961886e-09	4.012727741661952993e-03
1.956091269000000102e+04	1.143897380343086293e-08	4.142757816303808786e-03
1.955097323999999935e+04	1.335655286128841040e-08	4.276379706808172178e-03
1.954104420000000027e+04	1.558256174968237231e-08	4.413671766391664628e-03
1.953112556000000041e+04	1.816441682657528839e-08	4.554713137068189428e-03
1.952121730000000025e+04	2.115647192760865596e-08	4.699584150827699862e-03
1.951131941000000006e+04	2.462097220186474004e-08	4.848366040201731487e-03
1.950143187000000034e+04	2.862914376367874148e-08	5.001141225225273941e-03
1.949155466000000160e+04	3.326241459188859426e-08	5.157993167458787762e-03
1.948168777000000046e+04	3.861378815845126660e-08	5.319006198179159102e-03
1.947183118000000104e+04	4.478940642338690600e-08	5.484265828562508854e-03
1.946198487999999998e+04	5.191028723873255866e-08	5.653858414993518169e-03
1.945214884000000166e+04	6.011431180607136834e-08	5.827871664897399384e-03
1.944232305999999880e+04	6.955839415533016555e-08	6.006393754349274514e-03
1.943250750999999946e+04	8.042101004377317957e-08	6.189514379620128862e-03
1.942270218999999997e+04	9.290491724044887107e-08	6.377323655695999079e-03
1.941290707000000111e+04	1.072403350191848036e-07	6.569913224285186919e-03
1.940312213999999949e+04	1.236883678194855797e-07	6.767375296202611870e-03
1.939334737999999925e+04	1.425449391683945445e-07	6.969803215652582706e-03
1.938358279000000039e+04	1.641450834222129711e-07	7.177290827346496233e-03
1.937382833000000028e+04	1.888679293575687397e-07	7.389933731473012808e-03
1.936408399999999892e+04	2.171419339878440435e-07	7.607827568372796043e-03
1.935434977000000072e+04	2.494510806734194633e-07	7.831069515131199379e-03
1.934462565000000177e+04	2.863413684795552679e-07	8.059756688422412343e-03
1.933491159999999945e+04	3.284285779127767956e-07	8.293988205563752186e-03
1.932520761000000130e+04	3.764062719145846646e-07	8.533863314096385225e-03
1.931551367000000027e+04	4.310550716795148810e-07	8.779482051278708621e-03
1.930582977000000028e+04	4.932528352447933821e-07	9.030945223409964431e-03
1.929615587999999843e+04	5.639860850247525750e-07	9.288354923021041945e-03
1.928649198999999862e+04	6.443622303572179578e-07	9.551813468813966090e-03
1.927683809000000110e+04	7.356234589658697268e-07	9.821423883116733519e-03
1.926719414999999935e+04	8.391621885496407390e-07	1.009729044695975402e-02
1.925756017000000065e+04	9.565373657942477447e-07	1.037951726276960078e-02
1.924793612999999823e+04	1.089493489539127260e-06	1.066820964270357233e-02
1.923832200999999986e+04	1.239980835335855791e-06	1.096347353171178533e-02
1.922871779999999853e+04	1.410177712495604381e-06	1.126541516360392986e-02
1.921912349000000177e+04	1.602515224210349693e-06	1.157414132260854885e-02
1.920953904999999941e+04	1.819704808559445773e-06	1.188975998085736903e-02
1.919996446999999898e+04	2.064767143247696195e-06	1.221237898270023658e-02
1.919039975000000049e+04	2.341064704769638055e-06	1.254210628716784411e-02
1.918084485000000132e+04	2.652338918106790034e-06	1.287905168016769374e-02
1.917129977000000144e+04	3.002746824163626527e-06	1.322332398537508745e-02
1.916176449000000139e+04	3.396905446986533867e-06	1.357503310860174416e-02
1.915223900000000140e+04	3.839937279826079564e-06	1.393428894260264825e-02
1.914272327999999834e+04	4.337521830744358333e-06	1.430120207129739578e-02
1.913321731999999975e+04	4.895949940877171542e-06	1.467588298090225472e-02
