wavenumber	20°C	40°C	45°C	50°C
18255,27204	0,09283	0,11776	0,12218	0,12475
18246,65406	0,09539	0,12057	0,1256	0,12803
18238,0445	0,09818	0,12349	0,12898	0,13151
18229,44333	0,10116	0,12652	0,1323	0,13508
18220,85055	0,10429	0,12965	0,13554	0,13866
18212,26614	0,10752	0,1329	0,1387	0,14218
18203,69009	0,11083	0,13625	0,14182	0,14562
18195,1224	0,11418	0,13971	0,14491	0,14896
18186,56304	0,1176	0,14327	0,14801	0,15223
18178,012	0,12111	0,14693	0,15114	0,15547
18169,46928	0,12471	0,15069	0,15432	0,15874
18160,93485	0,12844	0,15456	0,15756	0,16207
18152,40872	0,13229	0,15852	0,1609	0,16552
18143,89086	0,13625	0,16258	0,16436	0,1691
18135,38127	0,14027	0,16675	0,16801	0,17282
18126,87993	0,14434	0,17101	0,17189	0,1767
18118,38683	0,14841	0,17539	0,17606	0,18073
18109,90195	0,15249	0,17987	0,18057	0,18493
18101,4253	0,15659	0,18446	0,18541	0,18929
18092,95685	0,16076	0,18917	0,19057	0,19384
18084,49659	0,16505	0,194	0,196	0,1986
18076,04451	0,16955	0,19897	0,20161	0,20357
18067,6006	0,17429	0,20406	0,20733	0,20875
18059,16485	0,17933	0,2093	0,21305	0,21412
18050,73724	0,18466	0,21468	0,21874	0,21965
18042,31777	0,19029	0,22021	0,22438	0,22531
18033,90642	0,19617	0,22589	0,22998	0,23107
18025,50317	0,20227	0,23173	0,23559	0,23692
18017,10803	0,20854	0,23773	0,2413	0,24286
18008,72097	0,21497	0,2439	0,24719	0,24891
18000,34199	0,22153	0,25023	0,25331	0,25512
17991,97107	0,22823	0,25674	0,25971	0,26151
17983,60821	0,23505	0,26341	0,26639	0,26812
17975,25338	0,242	0,27025	0,27331	0,27495
17966,90658	0,24907	0,27727	0,28043	0,28201
17958,5678	0,25625	0,28446	0,28769	0,28926
17950,23702	0,26351	0,29183	0,29504	0,29664
17941,91424	0,27086	0,29937	0,30244	0,30411
17933,59944	0,27828	0,30708	0,30987	0,31162
17925,29261	0,2858	0,31496	0,31736	0,31915
17916,99374	0,29346	0,32302	0,32494	0,32671
17908,70282	0,3013	0,33124	0,33267	0,3343
17900,41983	0,30939	0,33963	0,34058	0,34198
17892,14477	0,31776	0,34818	0,34874	0,34977
17883,87763	0,32646	0,3569	0,35717	0,3577
17875,61838	0,33549	0,36576	0,36588	0,36581
17867,36703	0,34481	0,37478	0,37486	0,37409
17859,12356	0,35439	0,38394	0,38409	0,38254
17850,88795	0,36416	0,39325	0,39352	0,39115
17842,66021	0,37406	0,40268	0,40311	0,39992
17834,4403	0,38405	0,41225	0,41281	0,40887
17826,22824	0,3941	0,42194	0,42258	0,41803
