Wavenumber	20°C	40°C	45°C	50°C
1.972137385999999969e+04	9.839954079217932276e-04	2.125206748199895846e-03	2.443409495901028260e-03	3.015816076746834305e-03
1.971126551000000109e+04	1.022825274245236539e-03	2.200952694101974624e-03	2.528217462364364815e-03	3.117084151839560457e-03
1.970116785000000164e+04	1.063007607976331750e-03	2.279043792692133415e-03	2.615572508836678991e-03	3.221278318544117461e-03
1.969108084999999846e+04	1.104582259306481455e-03	2.359539659430517477e-03	2.705536969517986865e-03	3.328466701983854269e-03
1.968100449999999910e+04	1.147589898759028646e-03	2.442500826597744906e-03	2.798174059617586102e-03	3.438718277605798054e-03
1.967093878000000041e+04	1.192072148460467411e-03	2.527988982378914003e-03	2.893548140156604331e-03	3.552103183503815473e-03
1.966088366999999926e+04	1.238071554152653762e-03	2.616066900325764687e-03	2.991724636425810348e-03	3.668692619642374610e-03
1.965083915999999954e+04	1.285631547972233748e-03	2.706798352829408762e-03	3.092769939112195547e-03	3.788558727215385596e-03
1.964080523000000176e+04	1.334796550533409298e-03	2.800248290828302820e-03	3.196751602088744159e-03	3.911774820159867778e-03
1.963078186999999889e+04	1.385611886511925635e-03	2.896482667075195132e-03	3.303738143106117308e-03	4.038415145397668791e-03
1.962076904999999897e+04	1.438123946167412784e-03	2.995568726517184623e-03	3.413799364186257887e-03	4.168555258827340640e-03
1.961076675999999861e+04	1.492379992609176769e-03	3.097574625576907624e-03	3.527005925916966086e-03	4.302271518119598313e-03
1.960077497999999832e+04	1.548428324611751889e-03	3.202569724554983014e-03	3.643429670051941127e-03	4.439641461240954531e-03
1.959079371000000174e+04	1.606318118561639481e-03	3.310624275915337745e-03	3.763143271461266703e-03	4.580743392522727830e-03
1.958082290999999896e+04	1.666099783814515775e-03	3.421810072467303381e-03	3.886220954006813777e-03	4.725657223391184318e-03
1.957086258000000089e+04	1.727824507686134652e-03	3.536199582585287157e-03	4.012737530143552916e-03	4.874463337228133325e-03
1.956091269000000102e+04	1.791544679251930909e-03	3.653866723850901499e-03	4.142769255260348588e-03	5.027243592497196087e-03
1.955097323999999935e+04	1.857313525754436057e-03	3.774886173976785969e-03	4.276393063335964806e-03	5.184080420678454509e-03
1.954104420000000027e+04	1.925185505203478491e-03	3.899334080436415734e-03	4.413687348920102352e-03	5.345057741966761748e-03
1.953112556000000041e+04	1.995215988763039162e-03	4.027287459774182322e-03	4.554731301443001000e-03	5.510260180501796133e-03
1.952121730000000025e+04	2.067461468107197140e-03	4.158824563701719185e-03	4.699605307248457507e-03	5.679773533135546067e-03
1.951131941000000006e+04	2.141979421413593709e-03	4.294024619268846724e-03	4.848390661113115806e-03	5.853684428576655559e-03
1.950143187000000034e+04	2.218828466237949670e-03	4.432968092251122344e-03	5.001169854298078213e-03	6.032080661473667935e-03
1.949155466000000160e+04	2.298068297028933032e-03	4.575736557712192787e-03	5.158026429791767731e-03	6.215051019818081286e-03
1.948168777000000046e+04	2.379759607717871206e-03	4.722412546497122346e-03	5.319044811874533082e-03	6.402685083469233235e-03
1.947183118000000104e+04	2.463964258300896208e-03	4.873079830717922181e-03	5.484310617864406392e-03	6.595073584898797706e-03
1.946198487999999998e+04	2.550745114918932539e-03	5.027823122143143530e-03	5.653910325163935546e-03	6.792308018335522710e-03
1.945214884000000166e+04	2.640166318564088517e-03	5.186728537148688201e-03	5.827931779079495965e-03	6.994481227520453308e-03
1.944232305999999880e+04	2.732292842664903448e-03	5.349882794895221075e-03	6.006463312600245248e-03	7.201686379703453253e-03
1.943250750999999946e+04	2.827191043665907861e-03	5.517374181438626513e-03	6.189594800472891616e-03	7.414018187331358409e-03
1.942270218999999997e+04	2.924928102782995039e-03	5.689291547118262987e-03	6.377416560441218074e-03	7.631571629973005373e-03
1.941290707000000111e+04	3.025572610657505275e-03	5.865725324361041083e-03	6.570020464432797976e-03	7.854443239750688935e-03
1.940312213999999949e+04	3.129194080571076359e-03	6.046766656087236048e-03	6.767498984366959736e-03	8.082729992632466109e-03
1.939334737999999925e+04	3.235863253062335691e-03	6.232507917313373676e-03	6.969945760371507038e-03	8.316529963503216036e-03
1.938358279000000039e+04	3.345651773523804738e-03	6.423042139869246728e-03	7.177454972192193715e-03	8.555941597127360645e-03
1.937382833000000028e+04	3.458632867002724067e-03	6.618464170492373809e-03	7.390122599146445835e-03	8.801065158960513432e-03
1.936408399999999892e+04	3.574880442001899822e-03	6.818869101939325876e-03	7.608044710031876615e-03	9.052000759017311826e-03
1.935434977000000072e+04	3.694469896366039691e-03	7.024353654850603104e-03	7.831318965917224983e-03	9.308850081334918425e-03
1.934462565000000177e+04	3.817477275913597635e-03	7.235014715748488805e-03	8.060043029475709442e-03	9.571714549726793864e-03
1.933491159999999945e+04	3.943980392388145989e-03	7.450951242665274955e-03	8.294316633805117259e-03	9.840697703610906330e-03
1.932520761000000130e+04	4.074057832980030290e-03	7.672262551829487492e-03	8.534239720009570082e-03	1.011590305273716087e-02
1.931551367000000027e+04	4.207789326195552314e-03	7.899048934031262584e-03	8.779913105968602249e-03	1.039743484328255543e-02
1.930582977000000028e+04	4.345255744664838597e-03	8.131411646057774834e-03	9.031438475839467794e-03	1.068539804199580834e-02
