fwhm	874.3768121211048-20°C	874.3768121211048-40°C	874.3768121211048-45°C	874.3768121211048-50°C
1.940312213999999949e+04	3.129194077604949015e-03	4.440602590106989406e-03	4.953603927135253986e-03	5.555838592167781399e-03
1.939334737999999925e+04	3.235863249996865504e-03	4.580367726312884954e-03	5.105476708025032118e-03	5.721421821643229988e-03
1.938358279000000039e+04	3.345651770356198804e-03	4.723857993018785832e-03	5.261274516267543284e-03	5.891143387908202682e-03
1.937382833000000028e+04	3.458632863730115321e-03	4.871151029001151087e-03	5.421075906791169088e-03	6.065082429228631222e-03
1.936408399999999892e+04	3.574880438621384771e-03	5.022324863039310909e-03	5.584959711593075714e-03	6.243318220834760505e-03
1.935434977000000072e+04	3.694469892874640247e-03	5.177458960730269878e-03	5.753006174606471387e-03	6.425931408355965539e-03
1.934462565000000177e+04	3.817477272308265022e-03	5.336633127104186032e-03	5.925295761362144899e-03	6.613002711460289756e-03
1.933491159999999945e+04	3.943980388665783293e-03	5.499928951807155943e-03	6.101910723111746149e-03	6.804614620900883287e-03
1.932520761000000130e+04	4.074057829137486819e-03	5.667428521705840383e-03	6.282933701741095882e-03	7.000849880632618004e-03
1.931551367000000027e+04	4.207789322229603217e-03	5.839214892851346365e-03	6.468448240386742536e-03	7.201792040566163539e-03
1.930582977000000028e+04	4.345255740572190502e-03	6.015372091247090346e-03	6.658538783506542068e-03	7.407525454211625650e-03
1.929615587999999843e+04	4.486539400175989893e-03	6.195985492517813199e-03	6.853291085431585487e-03	7.618135717800090037e-03
1.928649198999999862e+04	4.631723496632323724e-03	6.381141097197466985e-03	7.052791427661124490e-03	7.833708820481432786e-03
1.927683809000000110e+04	4.780892380772126631e-03	6.570925883588493201e-03	7.257126999511727752e-03	8.054331554046339700e-03
1.926719414999999935e+04	4.934131885068404437e-03	6.765428220392481588e-03	7.466386341423904109e-03	8.280091988140116446e-03
1.925756017000000065e+04	5.091528545422333712e-03	6.964736876911724675e-03	7.680658279233223279e-03	8.511078316989670670e-03
1.924793612999999823e+04	5.253170390578524099e-03	7.168942025811529326e-03	7.900033003043122060e-03	8.747380020598308561e-03
1.923832200999999986e+04	5.419146644715992084e-03	7.378134864195268899e-03	8.124601658742619872e-03	8.989087420083726257e-03
1.922871779999999853e+04	5.589547555921520021e-03	7.592407398692203185e-03	8.354456117304832202e-03	9.236291426067863922e-03
1.921912349000000177e+04	5.764464565764925753e-03	7.811852661599407409e-03	8.589689207096551024e-03	9.489083785444713329e-03
1.920953904999999941e+04	5.943990698760719116e-03	8.036565199645646224e-03	8.830395237215521095e-03	9.747557639205015750e-03
