Wavenumber	17277.150453038626-40C-17289.8119463758-20C	17271.260566842393-45C-17289.8119463758-20C	17271.260566842393-45C-17277.150453038626-40C	17262.46575968384-50C-17289.8119463758-20C	17262.46575968384-50C-17277.150453038626-40C	17262.46575968384-50C-17271.260566842393-45C
1.987429239999999845e+04	1.478404121139821484e-04	1.487357986700643198e-04	8.953865560821713809e-07	1.845460899493511948e-04	3.670567783536904643e-05	3.581029127928687505e-05
1.986402178999999887e+04	1.534775817615158678e-04	1.544041460142945351e-04	9.265642527786673022e-07	1.915575196225744294e-04	3.807993786105856159e-05	3.715337360827989429e-05
1.985376210999999967e+04	1.593003817423695092e-04	1.602590100207934923e-04	9.586282784239830851e-07	1.987987410715985398e-04	3.949835932922903057e-05	3.853973105080504748e-05
1.984351335000000108e+04	1.653137398673943954e-04	1.663053356928564886e-04	9.915958254620932735e-07	2.062758103361686220e-04	4.096207046877422663e-05	3.997047464331213336e-05
1.983327549999999974e+04	1.715226707639294417e-04	1.725481548696428417e-04	1.025484105713399957e-06	2.139948884217260632e-04	4.247221765779662147e-05	4.144673355208322151e-05
1.982304853000000003e+04	1.779322885989794616e-04	1.789925990034497028e-04	1.060310404470241226e-06	2.219622570344849779e-04	4.402996843550551626e-05	4.296965803103527503e-05
1.981283242999999857e+04	1.845477827815085242e-04	1.856438747140652700e-04	1.096091932556745793e-06	2.301842882935992022e-04	4.563650551209067797e-05	4.454041357953393218e-05
1.980262718999999925e+04	1.913744293587951685e-04	1.925072752321856399e-04	1.132845873390471436e-06	2.386674588220661936e-04	4.729302946327102516e-05	4.616018358988055372e-05
1.979243277999999918e+04	1.984176048455327029e-04	1.995881942864927107e-04	1.170589440960007749e-06	2.474183668462267985e-04	4.900076200069409561e-05	4.783017255973408786e-05
1.978224918999999863e+04	2.056827592298186630e-04	2.068920989479044190e-04	1.209339718085756035e-06	2.564436985688164786e-04	5.076093933899781564e-05	4.955159962091205961e-05
1.977207640000000174e+04	2.131754358468893051e-04	2.144245495934011224e-04	1.249113746511817252e-06	2.657502527810657548e-04	5.257481693417644965e-05	5.132570318766463240e-05
1.976191439000000173e+04	2.209012644337183216e-04	2.221911929058861986e-04	1.289928472167876927e-06	2.753449321470377922e-04	5.444366771331947061e-05	5.315373924115159368e-05
1.975176314999999886e+04	2.288659527223739455e-04	2.301977534056948377e-04	1.331800683320892228e-06	2.852347326803517059e-04	5.636877995797776042e-05	5.503697927465686819e-05
1.974162266000000091e+04	2.370753011096815707e-04	2.384500481795729298e-04	1.374747069891359141e-06	2.954267618766735120e-04	5.835146076699194127e-05	5.697671369710058213e-05
1.973149290000000110e+04	2.455351948188868932e-04	2.469539789819314964e-04	1.418784163044603183e-06	3.059282288904410134e-04	6.039303407155412022e-05	5.897424990850951704e-05
1.972137385999999969e+04	2.542515944841997576e-04	2.557155227513846062e-04	1.463928267184848656e-06	3.167464327617703409e-04	6.249483827757058331e-05	6.103091001038573465e-05
1.971126551000000109e+04	2.632305610993247030e-04	2.647407566686761377e-04	1.510195569351434688e-06	3.278887932930110629e-04	6.465823219368635986e-05	6.314803662433492518e-05
1.970116785000000164e+04	2.724782114166914883e-04	2.740358133050120430e-04	1.557601888320554739e-06	3.393627956082582650e-04	6.688458419156677673e-05	6.532698230324622199e-05
1.969108084999999846e+04	2.820007703173785935e-04	2.836069332405094425e-04	1.606162923130849060e-06	3.511760550506488540e-04	6.917528473327026056e-05	6.756912181013941150e-05
1.968100449999999910e+04	2.918045246774435275e-04	2.934604186714362233e-04	1.655893993992695740e-06	3.633362598464012511e-04	7.153173516895772362e-05	6.987584117496502788e-05
1.967093878000000041e+04	3.018958498784381824e-04	3.036026600336072349e-04	1.706810155169052531e-06	3.758512039040442197e-04	7.395535402560603731e-05	7.224854387043698478e-05
1.966088366999999926e+04	3.122811996061861540e-04	3.140401257248483062e-04	1.758926118662152219e-06	3.887287740623327544e-04	7.644757445614660044e-05	7.468864833748444822e-05
1.965083915999999954e+04	3.229670937810237043e-04	3.247793499501256016e-04	1.812256169101897352e-06	4.019769350309318739e-04	7.900984124990816961e-05	7.719758508080627225e-05
1.964080523000000176e+04	3.339601378196442680e-04	3.358269520539643171e-04	1.866814234320049101e-06	4.156037531774646899e-04	8.164361535782042184e-05	7.977680112350037274e-05
